Adventure Code,Adventure Title,Tier,APL,Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,,Author,Treasure (GP),Min/Max XP Legacy,ACP,TP,Renown,Downtime
CCC-BMG-PHLAN1S,PHLAN1-S Uprising,,,,,,,,,,,,,,,,
CCC-BMG-PHLAN2S,PHLAN2-S Damnation,11-16,,4,,,,,,,,,,4,8,1,10
CCC-BWM-001,Howling on the Moonsea,5-10,8,4,,Horn of Blasting,,,,,,2550,4500/7500,4,8,1,10
CCC-BWM-002,The City in the Depths,5-10,8,4,Potion of Water Breathing,"Longsword, +2",Candle of the Deep,,,,,300+2600,4500/6000,4,8,1,10
CCC-BWM-003,A Tale of Two Towers,11-16,13,4,"Potion of Superior Healing, Potion of Firebreath","Aegis of the Raven Queen (Shield, +3)",Dread Helm,,Grosvenson?,,,1500+2500,10125/13500,4,8,1,10
CCC-BWM-005,Chasing Madness,5-10,,2,,Portable Hole,Dark Shard Amulet,,Captain Tanheel’s Manifest,,,,,,,,
CCC-BWM-007-01 ,The Beast Beneath,11-16,,4,Potion of Water Breathing,Wand of Fireballs,Clockwork Amulet,,Bert's Inside Angle,,,,,,,,
CCC-BWM-007-03,The Beast Unleashed,11-16,,4,"Potion of Superior Healing, Potion of Heroism",Daern's Instant Fortress,Perfume of Bewitching,,,,,,,,,,
CCC-BWM-04-01 ,Thralls of Zuggtmoy: The Myconic Nidus,5-10,,2,"Ammunition +1 (Arrow), Potion of Fire Breath",Weapon of Warning (Scimitar),,,,,,,,,,,
CCC-BWM-04-02 ,Thralls of Zuggtmoy: Sanctum of Rot,5-10,,2,"Potion of Hill Giant Strength, Scroll of Vampiric Touch",Cloak of Protection,,,,,,,,,,,
CCC-BWM-06,Introduction to Adventuring,1-4,,5 x 1 hr,,-,,,,,,,,,,,
CCC-BWM-07-02,The Beast Within,11-16,13,4,Potion of Heroism,Figurine of Wondrous Power (Golden Lions),Instrument of Scribing (Flute),,,,,,,,,,
CCC-CENTRIC-01-02 ,Road to Reconciliation,1-4,,2,Spell Scroll of Locate Animals or Plants,Saddle of the Cavalier,Boots of False Tracks,,"Eraka Peacemaker
Benevolent Takeover",,,,,,,,
CCC-CENTRIC-01-03,The Patchwork Tower,1-4,,2,Oil of Slipperiness,Immovable Rod,Clockwork Amulet,,,,,,,,,,
CCC-CIC-01,The Vault of the Devourer,1-4,3,4,"Potion of Healing, Spell Scroll of Arms of Hadar",Boots of the Winterlands,,Conjurer's Spellbook,,,,550,900/1200,4,4,1,10
CCC-CIC-02,The Clockwork Laborotory,5-10,7,4,"Alchemist's Fire (4), Antitoxin (4), Acid (4), Potion of Healing (6), Oil of Slipperiness, Spell Scroll of Prayer of Healing, Scroll of Protection (from Elementals)",Figurine of Wondrous Power (Onyx Dog),,Clockwork Spellbook,Guide to Alchemy,,,3383.5,3750/5000,4,4,1,10
CCC-CIC-03,The Desolate Undercroft,5-10,8,4,"Potion of Greater Healing, Potion of Mind Reading, Spell Scrolls of Animate Dead, Rope Trick, Vampiric Touch",Mace of Disruption,,,The Chains Forged in Death,,,4700,4500/6000,4,4,1,10
CCC-CIC-04,Best Friends Forever,5-10,8,4,"Potion of Greater Healing, Scroll of Protection (Fiends)",Sending Stones,,,"Story Award/Downtime Activity/Etc.: Gratitude of the Von Finklestein Family, To Wear the Cloak",,,5500,4500/6000,4,4,1,10
CCC-CIC-05,Donum Vitae,5-10,8,4,"Potion of Invulnerability, Spell Scroll of Greater Invisibility",Wand of Wonder,,,"Story Award: Gratitude of the Von Finklestein Family, Story Award: Gratitude of the Church of Kelemvor, Story Award: Betrayer",,,10750,4500/6000,4,4,1,10
CCC-CIC-06,End of the Line,1-4,3,4,Potion of Healing,Short Sword +1,Trinket: Miner's Pick,,Story Award: Bag O' 'Shrooms,,,860,900/1200,4,4,1,10
CCC-CIC-07,Pieces of You,5-10,8,4,Potion of Greater Healing,Portable Hole,,,"Soul Donor, Acquired an Apprentice",,,6000,4500/6000,4,4,1,10
CCC-CIC-08,The Last Voyage of the Woolgathering Tidsoptimist,1-4,3,4,Potion of Water Breathing,Gauntlets of Ogre Power,,,"Story Award: Well, At Least You Tried",,,4000,900/1200,4,4,1,10
CCC-CIC-09,Steamy Shores of Danger,1-4,3,4,"Potion of Healing (2), Scroll of Protection from Evil and Good",Geyser Figurine (Decanter of Endless Water),,,Story Award: Greeting of the Forefathers,,,600,450/600,4,4,1,10
CCC-CIC-10,Terror at Soward Manor,5-10,8,4,"Potion of Water Breathing, Potion of Healing(4)",Bracers of Defense,,,Protector of the Gifted,,,300+2220,4500/6000,4,4,1,10
CCC-CIC-11,Death at Peril Island,5-10,8,4,Scrolls of Elemental Weapon and Revivify,Circlet  (Eye Patch) of Blasting,,,Despised by Talos,,,200+2200,4500/6000,4,4,1,10
CCC-CIC-12,Redemption at Talos Sound,5-10,8,4,"Potion of Water Breathing, Scroll of Control Water","Trident, +2",,,Gratitude of the Von Finklesteins,,,3000,4500/6000,4,4,1,10
CCC-CIC-15,Den Of The Dead Witch,1-4,,2,"Walloping Ammunition (Sling Bullet), Potion of Healing, Spell Scroll of Tasha's Hideous Laughter",Necklace of Fireballs,,,,,,,,,,,
CCC-CIC-16,Open Ambitions,5-10,,2-4,"Potion of Diminution, Spell Scroll of Silence, Spell Scroll of Invisibility",Ring of Warmth,,,,,,,,,,,
CCC-CNE-006,Burst!,5-10,,2,,Dagger of Venom,,,"Web Weary
Kill Me",,,,,,,,
CCC-CNE-01,The Treasure Beneath,5-10,,4,,Portable Hole,"Orb of Direction, Pole of Angling",,"Friend of the Shadow Watch Clan
Enemy of the Shadow Watch Clan",,,,,,,,
CCC-CNE-02,Before The Hatch,5-10,,4,"Potion of Greater Healing, Spell Scroll of Dispel Magic",Folding Boat,,,Magic Mist Expert,,,,,,,,
CCC-CNE-03,Into The Depths,5-10,,4,"Potion of Flying, Spell Scroll of Leomund's Tiny Hut",Cloak of the Bat,,,,,,,,,,,
CCC-CONMAR01-01,Helping Hands,5-10,,2,"Potion of Healing, Spell Scroll of Speak with Animals",Lantern of Revealing,,,,,,,,,,,
CCC-CONMAR01-02,Finding Linric,,,,,,,,,,,,,,,,
CCC-COS-01,The Only Way To Be Sure,5-10,,2,Potion of Greater Healing,Portable Hole,,,,,,,,,,,
CCC-COS-02-01,38 Souls,5-10,,2,"Potion of Healing, Oil of Slipperiness",Wand of Secrets,,Illusionist's Spellbook,,,,,,,,,
CCC-COTN-01-01,By The Seashore: A Red War Tale,1-4,3,2–4,Potion of Resistance (Cold),Chauncey’s Codbone Cosherer (Immovable Rod),Corsair’s Star (Orb of Direction),,"Faro’s Song, Stink of Thanks",,,,,2–4,2–4,0.5–1,5–10
CCC-DDSC-01,Murder at the Stop,1-4,3,4,"Potion of Healing, Scroll of Raise Dead, Scroll of Greater Restoration",Pearl of Power,Downtime Activity: Officer of the Militia,Thaddeus Zervous's Spellbook,Story Award: Carnie Crony,,,500,900/1500,4,4,1,10
CCC-DDSC-02,A Fool and His Gold,1-4,3,4,,Ring of Jumping,-,,"Family Reunion, I Got My Eye on Your",,,375,900/1500,4,4,1,10
CCC-DES-01-03 ,A Question Never Asked,,,,,,,,,,,,,,,,
CCC-DES-01-04,An Answer Never Offered,5-10,,4,Potion of Water Breathing,Decanter of Endless Water,,,Blessed Are the Merciful,,,,,,,,
CCC-DES-01-05,The Die is Cast,5-10,,4,,Winged Boots,,,I Have Felt Him,,,,,,,,
CCC-DES-01-06,One Last Job,5-10,,4,,Broom of Flying,"Charlatan's Die, Dark Shard Amulet",,,,,,,,,,
CCC-DES-02-01,Those Who Are Eaten,,,,,,,,,,,,,,,,
CCC-DES-02-02,On a Six-Fingered Trail,,,,,,,,,,,,,,,,
CCC-DES-02-03 ,Those Who Eat,,,,,,,,,,,,,,,,
CCC-DES-03-01,"A Stitch Here, a Snip There",11-16,,4,"Potion of Invulnerability, Elixer of Health, Oil of Etheralness",Iron Bands of Bilarro,,,"Noticed by Bilarro
The Mad Mage Remembers",,,,,,,,
CCC-DES-04-01,Hellish Haul,,,,,,,,,,,,,,,,
CCC-DES-04-02,A Hell of a Party,,,,,,,,,,,,,,,,
CCC-DES-04-03,In Accordance with Plans,,,,,,,,,,,,,,,,
CCC-DES01-01,Finding the Rabbit Hole,5-10,8,4,Potion of Greater Healing,Figurine of Wondrous Power (Ivory Goats),,,,,,3000,4500/6000,4,4,1,10
CCC-DES01-02,A Sanity Never Questioned,5-10,8,4,"Potion of Greater Healing, Potion of Water Breathing",Staff of Healing,,,,,,2700,4500/6000,4,4,1,10
CCC-DFW-01-01,Shadows of Ironfang Keep,,,,,,,,,,,,,,,,
CCC-DFW-01-02,Behind the Veil,,,,,,,,,,,,,,,,
CCC-DRUID-01,The Scourge Unseen,5-10,8,4,"Potions of Greater Healing and Heroism, Scroll of Life Transferrance",Iron Bands of Bilaro,Unbreakable Arrow,,Token of the Withered Mother,,,3200,4500/6000,4,4,1,10
CCC-DRUIDS-03,In Tents,1-4,,2,"Potion of Greater Healing, Walloping Ammunition (Arrow)",Lantern of Revealing,Veteran's Cane,,Rising Hero,,,,,,,,
CCC-DWB-ACM-1,A Colossal Mess,5-10,,2,,Figurine of Wondrous Power (Silver Raven),Unbreakable Arrow,,Banned: Stygia,,,,,,,,
CCC-DWB-AF-1,Adventuring Fates,1-4,,2,Potion of Healing,Immovable Rod,,,,,,,,,,,
CCC-DWB-ANH-1,A Negotiated Heist,11-16,,4,"Spell Scroll of Drawmij's Instant Summons, Spell Scroll of Guards and Wards",Wand of Paralysis,,,Banned: Maladomini,,,,,,,,
CCC-DWB-CW-01,The Clockwork Caravan,1-4,,2,"Potion of Healing, Potion of Fire Breath",Immovable Rod,,,,,,,,,,,
CCC-DWB-DFT-1,Digging For Trouble,5-10,,2,Potion of Greater Healing,Pearl of Power,,,Banned: Stygia,,,,,,,,
CCC-DWB-EoG-1,The Enemy of Greed,1-4,,2,Potion of Healing (2),Lantern of Revealing,,,,,,,,,,,
CCC-DWB-ESR-01 ,An Enchanting Shade of Red,1-4,,2,Potion of Invulnerability,Helm of Comprehending Languages,,,,,,,,,,,
CCC-DWB-GAT-1,To Give and to Take,,,,,,,,,,,,,,,,
CCC-DWB-GNA-1,Gallery of the Nightmare Artist ,11-16,,4,"Spell Scroll of Creation, Spell Scroll of Forbiddance",Daern's Instant Fortress,,,Banned: Maladomini,,,,,,,,
CCC-DWB-Q01,Quarantine,1-4,,2,Potion of Poison Resistance,Lantern of Revealing,,,,,,,,,,,
CCC-DWB-TFG-1,The Frostbane Garden,5-10,,4,Potion of Resistance (Poison) (2),Stone of Good Luck,,,Banned: Stygia,,,,,,,,
CCC-DWB-TLA-1,The Lakebed Archive,1-4,,2,Spell Scroll of Call Lightning,Decanter of Endless Water,,,,,,,,,,,
CCC-DWB-TMG-1,The Mournful Golem,,,,,,,,,,,,,,,,
CCC-DWB-TRM-1,Red Mirage,1-4,,2,Potion of Psychic Resistance,Helm of Comprehending Languages,,,,,,,,,,,
CCC-ELF – 01,Life's a Party,1-4,3,4,Potion of Healing,Ring of Warmth,,,Matchmaker,,,95 + 50/PC,900/1200,4,4,1,10
CCC-ELF – 02,An Adventuring Party Walks Into A Bar,1-4,3,4,,Tankard of Sobriety,,,Friend to the Afflicted,,,50/PC,900/1200,4,4,1,10
CCC-ELF-03-01 ,Death's Claw,5-10,,4,,Weapon of Warning (Net),,,Sir Ardem’s Abhorrence,,,,,,,,
CCC-ELF-03-02,Echoes of Rage,5-10,,2,Potion of Superior Healing,Gloves of Thievery,Wand of Smiles,,"Hillsfar's Cycle
Why So Serious?",,,,,,,,
CCC-ELF-04,Blood of the Covenant,11-16,,2,"Potion of Greater Healing (2), Potion of Superior Healing (2), Potion of Heroism",Rod of Rulership,Enduring Spellbook,Enduring Spellbook,Crazy Squirrel (Wizard),,,,,,,,
CCC-ELO-01,For the Kids!,1-4,3,4,,The Aloe of Ch (Keoghtom's Ointment),,,,,,,,4,4,1,10
CCC-ELO-02,The Four Kids,1-4,,2,Potion of Fire Breath,Bag of Holding,Candle of the Deep,,Always Home,,,,,,,,
CCC-EPI01-01,Hordes of Thar-The White Hand of Death,5-10,,2,,Pearl of Power,,,"Gratitude of the Spared
Child of Melvaunt",,,,,,,,
CCC-EPI01-02,Hordes of Thar: The Bloody Crescent,5-10,,4,,Weapon of Warning (Glaive),,,"Silencing the Shadows
The Mark of Seasons",,,,,,,,
CCC-FAD-01,Out The Back,5-10,,4,Potion of Heroism,Gloves of Thievery,Boots of False Tracks,,,,,,,,,,
CCC-FC3-01-02,Tales of Estirwald: Corruption of the Elderoak,5-10,,4,"Potion of Invulnerability, Potion of Greater Healing",Figurine of Wondrous Power (Golden Lions),,Enchanter's Spellbook,"I’m a Published Author!
A Spectral Displacer Kitten?",,,,,,,,
CCC-FC3-03,Tales of Estirwald: The Fun House,11-16,,4,Potion of Mind Reading,Bag of Devouring,,,"Caught Red...errr Purple Handed
My Teddy Bear Has Claws",,,,,,,,
CCC-FC3-04 ,For The Greater Good,,,,,,,,,,,,,,,,
CCC-FCC-001 ,Isle of Moss,1-4,,2,,Helm of Comprehend Languages,Boots of False Tracks,,,,,,,,,,
CCC-FXC-01,Nothing Happens in Elmwood,1-4,2,2,,Charm of Vitality- Flaming Sigil,,,"The Child Likes You, Kobold Slayer, Respect of the Pierced Snout Tribe",,,325,450/600,2,2,0.5,5
CCC-GAD01-01,Broken Blade,5-10,8,2–4,,Sea Hag’s Cloak (Cloak of the Manta Ray),Selfaril’s Soul Gem (Ruby of the War Mage),Brotherhood Spellbook,A Lich’s Secret,,,,,,,,
CCC-GAD01-02,Red War - Black Phoenix,5-10,8,2–4,,Dragonhide Saddle (Saddle of the Cavalier),Dread Helm,,High Blade in Your Debt,,,,,,,,
CCC-GAD01-03,Caught in Time,11–16,13,4–6,,Prospector’s Chronoglass (Periapt of Proof against Poison),Chronostat of Precision (Clockwork Amulet),,,,,,,,,,
CCC-GAD02-01,The Monster Within,1-4,,2,Potion of Hill Giant Strength,Goggles of Night,Moon-Touched Sword (Rapier),,,,,,,,,,
CCC-GAD02-02,Voyage of the Kraken's Wake,5-10,,4-6,Potion of Gaseous Form,Javelin of Lightning,Orb of Direction,Captain Morgana’s Journal [Spellbook],Renowned Pirate Hunter,,,,,,,,
CCC-GAD02-03,Arena of Champions,11-16,,4,"Potion of Heroism, Potion of Fire Giant Strength, Spell Scroll of Illusory Dragon",Horn of Valhalla (Brass),,,Champion of the Arena,,,,,,,,
CCC-GARY-01,A Night to Remember,5-10,7,2,Potions of Greater Healing (x3),Dagger of Venom (2),,,"Story Awards: NAKED AND UNAFRAID",,,1300,6300/7000,2,2,0.5,5
CCC-GARY-02,To Find a Way Out,5-10,7,2,Vial of Poison; Scroll of Mass Cure Wounds,Wand of Magic Missiles,,,,,,1100,6300/7000,2,2,0.5,5
CCC-GARY-03,"Oh, We're in it Now",5-10,7,2,"Vial of Poison, Potion of Healing, +1 Ammunition (x5)","Multiple chances to roll for: Staff of the Python, Cloak of the Manta Ray, Cap of Water Breathing, Goggles of Night, Necklace of Fireballs",,,,,,4200,3300/3800,2,2,0.5,5
CCC-GARY-04,The Darkness of the Mountains,1-4,3,2,,-,,,Story Award: Furrball the Skeleton Kitty Cat,,,250,450/600,2,2,0.5,5
CCC-GARY-05,The Shadows of the Trees,1-4,3,2,,Bag of Holding,,,,,,900,450/600,2,2,0.5,5
CCC-GARY-06,The Death Beneath the Roots,1-4,3,2,,Quaal's Feather Token (Tree),,,,,,1130,450/600,2,2,0.5,5
CCC-GARY-07,The Mirror Cities of Gulthias,5-10,7,2,,Cloak of Elvenkind,,,,,,2000,3750/5000,2,2,0.5,5
CCC-GARY-08,That Which Lies Buried,5-10,7,2,,Sword of Vengeance (Longsword),,,,,,900,3750/5000,2,2,0.5,5
CCC-GARY-09,The Witch Maiden,5-10,7,2,"Potion of Greater Healing (2), Potion of Poison (2)",Staff of the Woodlands,Crown of Souls,,,,,8700,3750/5000,2,2,0.5,5
CCC-GARY-15,Friendship Never Dies,1-4,,2-4,Spell Scroll of Speak with Dead,Ring of Mind Shielding,,,,,,,,,,,
CCC-GARY-16,My Immortal Loneliness,1-4,,2-4,Spell Scroll of Daylight,-,,,"Tara, the Zombie Cat",,,,,,,,
CCC-GARY-17,A Simple Plan,1-4,,2-4,,Cloak of the Manta Ray,,,,,,,,,,,
CCC-GEL-01,Bedlam at the Benefit,1-4,3,2,"Potion of Healing (4), Potion of Resistance (Psychic)",Dark Shard Amulet,,,Story Award: Children's Benefactor,,,275,450/600,2,2,0.5,5
CCC-GGC02-01,Emtombed ,,,,,,,,,,,,,,,,
CCC-GHC-01,Tharaera Lost,5-10,7,2,"Potion of Greater Healing (x4), Spell Scrolls of Arcane Eye, Evard’s Black Tentacles, Legend Lore, and Scrying",-,,,,,,4300,2250/3000,2,2,0.5,5
CCC-GHC-02,Skulljaw Hill,5-10,7,2,-,Battleaxe +1,-,,,,,1000,2500/3500,2,2,0.5,5
CCC-GHC-03,Facing the Dark,5-10,7,2,-,Ring of Protection,-,,,,,1000+,2000/3000,2,2,0.5,5
CCC-GHC-04,Shade of the Dark,5-10,8,2,Potion of Healing,RIng of Warmth,,,,,,2300+,2000/3000,2,2,0.5,5
CCC-GHC-05,Trail of Treachery ,5-10,8,2,Potion of Vitality,Shortsword +1 ,,,,,,2000+,2000/3000,2,2,0.5,5
CCC-GHC-06,What You Wish for,5-10,8,2,Potion of Invisibility,Dagger +2,,,,,,1300+,2000/3000,2,2,0.5,5
CCC-GHC-07,River Runs Red,11-16,13,2,Potion of Invisibility,Ring of the Ram,,,,,,3450+,6000/8000,2,4,0.5,5
CCC-GHC-08,Death in the Ruins,11-16,13,2,"Potion of Greater Healing, Potion of Fire Breath",Greatsword +2,,,,,,1950,6000/12000,2,4,0.5,5
CCC-GHC-09,Swamp of Death,11-16,13,2,"Potion of Vitality, Spell Scroll of Etheralness, Wind Walk",Longbow +2,,,,,,11600+,6000/8000,2,4,0.5,5
CCC-GHC-BK03-01,Assassination in Oeble,1-4,,2-4,Potion of Poison,Dagger +1,Unbreakable Arrow,,,,,,,,,,
CCC-GHC-BK03-02 ,The Girl with the Wet Nose,,,,,,,,,,,,,,,,
CCC-GHC-BK03-03,Secrets in Storage,,,,,,,,,,,,,,,,
CCC-GHC-BK03-04,A Mural of Arthyn,,,,,,,,,,,,,,,,
CCC-GHC-BK03-05,Duskwood Wild Magic Pools,5-10,8,2-4,"Potion of Mind Reading, Potion of Animal Friendship",Wand of Web,,,,,,3000 gp,,,,,
CCC-GHC-BK03-06,Sour in Splondar,5-10,8,2-4,Potion of Mind Reading,Alchemy Jug,,,,,,,,,,,
CCC-GHC-BK03-07,"Once Stolen, Twice Deceived",,,,,,,,,,,,,,,,
CCC-GHC-BK03-08,The Archmage's New Robes,,,,,,,,,,,,,,,,
CCC-GHC-BK03-09,A Convergence of Gods,17-20,,4,"Elixer of Health, Potion of Heroism, Oil of Sharpness",Tome of the Stilled Tongue,,,,,,,,,,,
CCC-GHC-BK1-01,Into the Border Kingdoms,1–2,1,2,"Spell Scroll of Beast Bond, Spell Scroll of Snare",Quiver of Ehlonna,Moon-Touched Sword,,,,,,,,,,
CCC-GHC-BK1-02,The Tithes That Bind,5-10,8,4,"Potion of Greater Healing, and a Spell Scroll of Dimension Door","Death's Head(Mace of Disruption)",,Mardin's Spellbook,Story Award: Champion of All Souls,,,,,,,,
CCC-GHC-BK1-03,The Darkest Knight,5-10,8,4,Spell Scroll of Identify (2),Tentacle Rod,,,,,,,,,,,
CCC-GHC-BK1-04,I am the Fire,5-10,8,4,,Ring of Fire Resistance,,Burned Spellbook,Story Award: Burning Heart of Rymdyl,,,,,,,,
CCC-GHC-BK1-05,For the Glory of Bloutar!,5-10,8,4,"Potion of Healing (3), Potion of Climbing; Spells Scrolls of Blink, Fabricate and Major Image",Stout (+2 Longsword),,,,,,,,,,,
CCC-GHC-BK1-06,Legacy and Virtue,1-4,2,2-4,"Potion of Healing, Antitoxin",Circlet of Blasting,,,"Story AwardsAnders Tharion Rescued",,,,,,,,
CCC-GHC-BK1-07,The Peculiar Case of the Selptan Felines,1-4,3,2-4,"Spell Scroll of Beast Bond, Spell Scroll of Snare",Helm of Telepathy,,,Story Award: Feline Friend Forever,,,,,,,,
CCC-GHC-BK1-08,The Hunt for Cutter Jack,1-4,3,2,,Ilmater’s Bleeding Heart (Periapt of Wound Closure),,,Downtime Activity: It's a Princess Cut,,,,,,,,
CCC-GHC-BK1-09,Scavengers,1-4,2,2-4,,Bag of Tricks (Gray),,,,,,,,,,,
CCC-GHC-BK1-10,The Heart of Shadow,11-16,13,4,"Potion of Greater Healing, Potion of Flying",Dancing Sword (Rapier),,,,,,,,2-4,4-8,0.5-1,5-10
CCC-GHC-BK2-01,Shadows of Rith Keep,1-4,,2,"Potion of Greater Healing, Spell Scroll of Bless",Saddle of the Cavalier,Charlatan's Die,,,,,,,,,,
CCC-GHC-BK2-02,The Folly of Sneaky Simon,1-4,,2,"Potion of Healing, Potion of Animal Friendship",Decanter of Endless Water,,,,,,,,,,,
CCC-GHC-BK2-03,Framed in Felshroun,1-4,,2,Potion of Healing,Cloak of the Manta Ray,,,,,,,,,,,
CCC-GHC-BK2-04,Wicked Little Things,1-4,,2,Potion of Healing,Wand of Secrets,,,Hero of Felshroun,,,,,,,,
CCC-GHC-BK2-05,Finglebruggle's Phantomball Field,5-10,,2,,Boots of Springing and Striding,,,Phantomball Champion ,,,,,,,,
CCC-GHC-BK2-06,"Eye of Darkness, Heart of Light ",5-10,,2,"Potion of Greater Healing, Potion of Climbing",Ring of Mind Shielding,,,Heart of Light,,,,,,,,
CCC-GHC-BK2-07,In The Dead of Knight,5-10,,2,"Potion of Healing, Potion of Resistance (Cold)",Hat of Disguise,,,,,,,,,,,
CCC-GHC-BK2-08,Ancient Rivals,11-16,,4,"Potion of Superior Healing, Potion of Cloud Giant Strength",Staff of Healing,Clockwork Amulet,Fyndulaas's Spellbook,,,,,,,,,
CCC-GHC-BK2-09,Breath of Fire,11-16,,2,"Potino of Superior Healing, Potion of Frost Giant Strength",Figurine of Wondrous Power (Onyx Dog),Dark Shard Amulet,,,,,,,,,,
CCC-GHC-BK2-10,"Into the Dark, Black Forest",,,,,,,,,,,,,,,,
CCC-GHC-BORDER,The Border Kingdoms: A Forgotten Realms Campaign Supplement,N/A,N/A,N/A,N/A,Border Kingdoms campaign supplement,,,,,,N/A,N/A,,,,
CCC-GLIP-01-01,Glip Dak,1-4,3,2,Potion of Healing,Aark's Greatsword (+1 Greatsword),Manke's Die (Charlatan's Die),,Glip Dak Lawbreaker; Vandover Obligation; Vadd Narkoz,,,1265,450/600,2,2,1,5
CCC-GLIP-01-02,Beneath Glip Dak,1-4,3,2,"Potion of Healing, Scroll of Fireball",Bag of Holding,Shield of Expression,,"The Bronze, Grat Nying",,,1015,450/600,2,2,1*,5
CCC-GLIP-01-03,Citadel of Vlaakith,1-4,3,4,Potion of Healing,Dread Helm,Mithral Half-Plate,,"Lost in Space, In Your Debt",,,840,450/600,2,2,1*,5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CCC-GLIP-02-01,Blue Scales,5-10,8,2,"+1 Arrows, Potion of Diminution, Potion of Fire Giant Strength, Potion of Greater Healing, Potion of Climbing",Arrow-Catching Shield,,,Honor of the Kroth Magg; He Knows Your Face,,,1850,2250/3000,2,2,1*,5
CCC-GOC-01-01,Tree Rot,1-4,,2,,Bracers of Archery,,,,,,,,,,,
CCC-GOC-01-02,Cairns of Rot,5-10,8,2,Potion of Healing,Heward's Handy Haversack,,,Secrets Revealed; Corruption Unchained; Enemies Afoot,,,1800,4500/6000,,,,
CCC-GOC-01-03,Winds of Rot,5-10,,3-4,,Carpet of Flying,,,"Lessening Influence
No Mote In the Sky",,,,,,,,
CCC-GREY-01-01,A Rats Tale,1-4,,4 x 1 hr,Spell Scroll of Heroism,-,,"""Ruminations on the Accomplishments of Humanity""",Fate of the Rat,,,,,,,,
CCC-GSP-01-01,A Dragon's Breath,1-4,4,4,Scroll of Comprehend Languages,Instrument of the Bards – Mac-Fuirmidh Cittern,,,Five Leaf Clover Initiate,,,1115,450/600,,,,
CCC-GSP-03-01 ,Heartfelt Memories,,,,,,,,,,,,,,,,
CCC-GSP-FEAR01-01,Beneath the Bleeding Tree,1-4,,2,"Potion of Healing, Spell Scroll of Cause Fear",Eversmoking Bottle,,,Lingering Nightmare,,,,,,,,
CCC-GSP-MON01-01,Shadows of Despair,,,,,,,,,,,,,,,,
CCC-GSP-NTHR01-01,A Night of Sorrows,11-16,,2,"Potion of Necrotic Resistance, Spell Scroll of Hallow",Amulet of Health,,,"Twilight Fades
Silent Nights",,,,,,,,
CCC-GSP-OOZE01-01 ,Oozing Hunger,5-10,,2,,Mithral Splint,,,,,,,,,,,
CCC-GSP-PHIL01-02,The Murmuring Hollow of the Flooded Forest,1-4,,2,,Eyes of Minute Seeing,,,,,,,,,,,
CCC-GSP-PHIL01-03,The Whispering Shadows of the Eldest Ruin,1-4,,2,,Robe of Useful Items,,,,,,,,,,,
CCC-GSP01-02 ,Brotherhood,1-4,,2,,Pipe of Smoke Monsters,,,"Five-Leaf Clover Initiate
Doomguide of Kelemvor",,,,,,,,
CCC-GSP01-03,Tainted Love,1-4,,2,,Cloak of Many Fashions,,,"In Search of Her
Clingy Jelly!",,,,,,,,
