Adventure Code,Adventure Title,Tier,APL,Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,,Author,Treasure (GP),Min/Max XP Legacy,ACP,TP,Renown,Downtime
CCC-SCAR02-02,Nature's Defense,1-4,,4,"Potion of Poison Resistance, Potion of Healing",-,,,"And My Horses Also!
At Least I Survived",,,,,,,,
CCC-SCAR03-01,Devotees of the Dagger,,,,,,,,,,,,,,,,
CCC-SCAR03-02,Secrets Underneath Glister,,,,,,,,,,,,,,,,
CCC-SDREAM-01-01,"From Every Winter, Spring",1-4,3,2 - 4,Potion of Healing,Decanter of Endless Water,,,A Renewed Purpose and Quaint Country Home,,,,,,,,
CCC-SDREAM-01-03,The Best Laid Plans of Gnomes,11-16,13,4,Potion of Vitality,Daern's Instant Fortress,,,,,,,,,,,
CCC-SEA-01-01,All Good Dead Men ,1-4,,2,Potion of Greater Healing,Decanter of Endless Water,Talking Doll,,"You Sank My Gambling Ship!
Career as a Buccaneer",,,,,,,,
CCC-SEA-01-02,"Oh, Not the Bees!",5-10,,2,,Winged Boots,Heward's Handy Spice Pouch,,"You Sank My Gambling Ship!
Looking as Robust as Randy",,,,,,,,
CCC-SEA-01-03,Stargazing on the Albatross,11-16,,4,"Soul Coin, Spell Scroll of Fabricate, Spell Scroll of Simulacrum",Bag of Devouring,Cloak of Many Fashions,Qissynytyr’s Spellbook,"Carnie Makeover
My Child has Tentacles",,,,,,,,
CCC-SFBAY-01-01,Plots in Motion,5-10,8,4 or 8,Oil of Sharpness,"""Smoke"" (+2 Shortsword)",,Rider's Spellbook,,,,668,None Listed,4 or 8,4 or 8,1 or 2,10 or 20
CCC-SFBAY-02-01,Old Enemies Arise,5-10,8,4,"Potion of Growth, Potion of Animal Friendship",Cloak of Displacement,,Lasharra's Spellbook,,,,3425,3000/9000,4,4,1,10
CCC-SFBAY-02-02,Rise of the Ogre King,5-10,8,4,,Amulet of Health,,Traveling Spellbook,Enemies of Justice; Fangjaws Citizen; Knight of the Silver Dragon; Rashemi Regard; Pawn of Thay,,,2400+,3000/9000,4,4,1,10
CCC-SFBAY-02-03,The Risen Minotaur Lord,5-10,,4,"Potion of Greater Healing, Potion of Invulnerability",Belt of Hill Giant Strength,,,"Rashemi Regard 
Honorary Wychlaran (Female spellcasters of good or neutral alignment only)
Fangjaws Citizen
Fangjaws Noble",,,,,4,4,1,10
CCC-SFBAY-04-01,The Cornflower Hive,1-4,3,4,"Potion of Healing (3), Potion of Water Breathing, Scroll of Bless",Javelin of Lightning,,,Story Award: Goblinslayer,,,300,900/1200,4,4,1,10
CCC-SFBAY-04-02,Under Earth & Stone,5-10,8,2,"Crossbow Bolts +1 (10), Scroll of Speak with Animals, ",Traveler's Heart (Stone of Controlling Earth Elementals),,,Downtime Activity: The Silk Trade,,,1920,2250/3000,2,2,0.5,5
CCC-SFBAY-04-03,The Ashen Scar,1-4,3,2,"Potion of Healing, Arrows +1 (10)",Boots of Elvenkind,,,"Story Awards: Draught of the Feywild, Cloaks of Mulmaster",,,1168,450/600,2,2,0.5,5
CCC-SHINY-02,An Open Secret,1-4,3,2,,Eyes of the Eagle,,,,,,1525,450/600,2,2,0.5,5
CCC-SHINY-04,Elusion of Grand Yore,5-10,,4,"Potion of Diminution, Potion of Growth",Gem of Seeing,Pipe of Smoke Monsters,Grimblr’s Spellbook,Delusional Misidentification,,,,,,,,
CCC-SKULL01-01,A Murder Most Foul,5-10,,4,Potion of Healing,Heward's Handy Haversack,,,Friend of the Fallen,,,,,,,,
CCC-SKULL01-02,Not All Who Are Lost Should Be Found,5-10,,4,Potion of Greater Healing,Wand of Magic Missiles,,,,,,,,,,,
CCC-SKULL01-03,Who Pulls the Strings,5-10,,4,"Spell Scroll of Fear, Spell Scroll of Fly",Dimensional Shackles,,,,,,,,,,,
CCC-SLMH01-01,Codex Venator-The Last Hunter,5-10,,4,Potion of Healing (4),-,,,Newblood hunters,,,,,,,,
CCC-SQC-001,The Woodland Sage,5-10,8,4,,Staff of Charming,,,,,,1800 or 2000,4500/7500,4,4,1,10
CCC-SQC-0201,None the Wiser,5-10,,4,,,,,,,,,,4,4,1,10
CCC-SQC-0202,Last Gasp,5-10,8,4,Potion of Fire Giant Strength; Scroll of Passwall,Elven Chain,,,,,,600+2000,4500/7500,4,4,1,10
CCC-SQC-03-01,Consumption,5-10,,4,,Wand of Secrets,Pipe of Smoke Monsters,,"The Pursuit of Knowledge
Celia the Squirrel",,,,,,,,
CCC-SQC-03-02,Shiitake,5-10,,2,"Potion of Climbing, Potion of Heroism",Winged Boots,Heward's Handy Spice Pouch,,"Time is of Your Essence
Crazy Squirrel (Cleric)",,,,,,,,
CCC-SQC-03-03,Toxicity,5-10,,2,Potion of Acid Resistance,Bag of Tricks (Rust),Horn of Silent Alarm,,"My Dreams Taste Like Raspberries
The Eldritch Squirrel",,,,,,,,
CCC-SRCC01-01,Trouble in the Old City,1-4,3,2,"Potion of Healing, Scroll of Protection from Poison",Slippers of Spider Climb,,,"Hold onto Your Butts!
Local Pursuit
Ylraphon Adventurers Guild",,,796.8,450/600,2,2,0.5,5
CCC-SRCC01-02,Down the River of Snakes,1-4,3,2,"Potion of Healing, +1 Arrows (10)",Shortsword +1 (Foxblade),,,"Took Too Long
Local Pursuit
Ylraphon Adventurers Guild",,,749,450/600,2,2,0.5,5
CCC-SRCC01-03,Altar of the Smoldering Eye,1-4,3,2,Potion of Healing,Staff of the Adder,,,"Captured!
Local Pursuit
Ylraphon Adventurers Guild",,,795,450/600,2,2,0.5,5
CCC-ST2-1,Red War: Embassy of Evil,5-10,,4,"Potion of Greater Healing, Spell Scroll of Animate Dead",Mantle of Spell Resistance,,MuLen’s Travelling Spellbook,"Favor of the Harpers
Prisoner of Thay",,,,,,,,
CCC-STORM-01,The Barrows of Solina,5-10,8,4,"Potion of Superior Healing, Scroll of Daylight",Dawnfire (Sun Blade),,,Story Award: Solina's Blessing,,,1250,4500/6000,4,4,1,10
CCC-STORM-02,Swamp of Sorrow: Bloodpurge Village,5-10,,2,,Bag of Tricks (Tan),,,,,,,,,,,
CCC-SVH-01-01,Dawn of the Raven Lord,11-16,,4,"Potion of Healing, Potion of Invulnerability, Spell Scroll of Heal",Figurine of Wondrous Power (Serpentine Owl),,,Uthgardt Negotiator,,,,,,,,
CCC-SVH-01-02,Raven Lord's Aerie,11-16,,4,"Potion of Greater Healing, Potion of Healing, Spell Scroll of Slow",Vicious Glaive,,,"Raven Lord’s Lungs
Raven Lord’s Liver
Raven Lord’s Heart",,,,,,,,
CCC-SVH-01-03,Vault of the Raven Lord ,11-16,,4,"Potion of Fire Resistance, Potion of Greater Healing, Spell Scroll of Aid, Spell Scroll of Mordenkainen's Faithful Hound",Rod of Absorption,,,"Fallen Raven
Curse from the Shadows",,,,,,,,
CCC-SVH-03-01,Finder's Fiend,5-10,,2,"Spell Scroll of Mind Spike, Spell Scroll of Danse Macabre",Amulet of Proof against Detection and Location,,,Mark of the Sisterhood,,,,,,,,
CCC-TAROT-S1-01,A Long Night,1-4,,2,"Potion of Fire Breath, Spell Scroll of Scorching Ray",Immovable Rod,,,,,,,,,,,
CCC-TAROT01-01,Awakening of Fates,1-4,1,2,Potion of Healing (2),Ordine Sage’s Robes (Robe of Useful Items),,,"Story Awards: Touched by the Fates, Tarot of Fate (Devil): Upright, Tarot of Fate (Devil): Inverted",,,250,450/650,2,2,0.5,5
CCC-TAROT01-02,By the Light of the Moon,1-4,3,2,"Scroll of Protection (Lycanthropes), 
Scroll of Remove Curse",Shield of the Moon (Shield +1),,,"Story Awards: Touched by the Fates, Tarot of Fate (The Moon): Upright, Tarot of Fate (The Moon): Inverted, Cursed by Selune",,,250,450/600,2,2,0.5,5
CCC-TAROT01-03,A Martyred Heart,1-4,3,2,,Ward of the Martyr (Periapt of Health),,Aesir's Spellbook,"Story Awards: Touched by Fate, Tarot of Fate (The Lovers): Upright, Tarot of Fate (The Lovers): Inverted",,,200,450/600,2,2,0.5,5
CCC-TAROT01-04,Tangled Woods,1-4,3,2,Elixir of Health,Torag's Hammer (Warhammer +1),,,"Story Awards: Touched by the Fates, Madness Grows, 
Tarot of Fate (Empress): Upright, 
Tarot of Fate (Empress): Inverted",,,225,450/600,2,2,0.5,5
CCC-TAROT01-05,The Lost Apprentice,1-4,3,2,,Auntie Soo's Broom (Broom of Flying),Hat of Vermin,,"Story Awards: Touched by the Fates,  
Tarot of Fate (The Chariot): Upright, 
Tarot of Fate (The Chariot): Inverted",,,400,450/600,2,2,0.5,5
CCC-TAROT01-06,Lies in the Moonlight,1-4,3,2,Potion of Greater Healing,Moon Strike (Short Bow +1),Instrument of Illusions,,"Story Awards: Tarot of Fate (Death): Upright, 
Tarot of Fate (Death): Inverted",,,725,450/600,2,2,0.5,5
CCC-TAROT01-07,The Seat of the Ruler,1-4,3,4,"Potion of Greater Healing
Spell Scroll of Mirror Image",Thenturian Circlet (Circlet of Blasting),Amarantha’s Heart (Dark Shard Amulet),,"Touched by the Fates, Tarot of Fate (Emperor) Upright, Tarot of Fate (Emperor) Inverted",,,,,4,4,1,10
CCC-TAROT02-01,A Sunk Cost,5–10,8,4,,The Plague Fly,,,Story Awards: Sweet and Stupid; Tarot of Fate (The Tower): Upright / Inverted,,,,,,,,
CCC-TAROT02-02,Guardian's Scourge,5–10,,,,,,,,,,,,,,,
CCC-TAROT02-03,To Boldly Go,5–10,,2,Spell Scroll of Blight,Wand of Paralysis,,,"Touched by Fate
The Magician (Upright)
The Magician (Inverted)",,,,,,,,
CCC-TAROT02-04,Moonlit Waves Part 1,5–10,,2,Potion of Water Breathing,Folding Boat,,,"The Star (Upright)
The Star (Inverted)
Saved by Muma",,,,,,,,
CCC-TAROT02-05,Hollow Hopes,5–10,8,,,The Auftrag’s Buskins (Winged Boots),,,Story Awards: Tarot of Fate (Justice) Upright; Tarot of Fate (Justice) Inverted,,,,,,,,
CCC-TAROT02-06,The Hand That Wields,5–10,,,,,,,,,,,,,,,
CCC-TAROT02-07,Moonlit Waves Part 2,5–10,8,2–4,Potion of Water Breathing,Horseshoes of Speed,,,"The High Priestess (Upright)
The High Priestess (Inverted)",,,,,,,,
CCC-TAROT02-08,Winding Road to Freedom,5–10,,2,Potion of Heroism,Trident of Fish Command,Cloak of Billowing,,"The Hierophant (Upright)
The Hierophant (Inverted)",,,,,,,,
CCC-TAROT02-09,The Thentia Job,5–10,8,2–4,,Wand of Magic Missiles,,Karasht's Spellbook,"The Runt
Strength (Upright)
Strength (Inverted)",,,,,,,,
CCC-TAROT02-10,Facades Undone,,,,,,,,,,,,,,,,
CCC-TCW-WSF-1,A Change of Heart,,,,,,,,,,,,,,,,
CCC-THENT01-01,Beneath the Surface,1-4,3,2,Potion of Healing,Pearl of Power,,,,,,540,450/650,2,2,0.5,5
CCC-THENT01-02,Those That Dwell Beneath,1-4,3,2,Potion of Healing,Periapt of Wound Closure,,,,,,500,450/650,2,2,0.5,5
CCC-THENT01-03,The Dreaming Relic,1-4,3,4,"Potion of Growth, Potion of Healing, Spell Scroll of Comprehend Languages, Spell Scroll of Gentle Repose, Spell Scroll of Tenser's Floating Disk",Instrument of the Bards (Mac-Fuirmidh Cittern),,,,,,250 - 450,900/1200,4,4,1,10
CCC-TRI-01,Into the Darkness (Yulash Part 1),11-16,13,4,"Potion of Superior Healing, Spell Scrolls of Heal, Flame Strike, Mass Suggestion",Robe of Scintillating Colors,,,"On the Right Track
Worse than the Slavers
Elanil’s Rage",,,18000,10125,4,8,1,10
CCC-TRI-02,Impression Left Behind (Part Two of the Yulash Series),11-16,13,4,Potion of Vitality,Rod of Absorption,,,"Honorary Corps Member
Harbinger of the Vast Gate",,,5500,10125/13500,4,8,1,10
CCC-TRI-03,Fences and Swords (Part One of the RocSlide Series),5-10,7,2,Potion of Water Breathing (2),Rod of Rulership,,,Story Awards: Friends in High Places; Capture!,,,1000,1875/2500,2,2,0.5,5
CCC-TRI-04,Birds of a Feather (Part Two of the RocSlide Series),5-10,8,2,Scroll of Dimension Door,Wings of Flying,,,"Story Award: A Mermaid’s Request, Mermaider, Let Caged Birds Free, Clipped Wings",,,6500,2250/3000,2,2,0.5,5
CCC-TRI-07,Beneath the Moonsea (Part 3 of the Nightmare series),5-10,8,4,"Potion of Healing, Potion of Water Breathing",Portable Hole,,,Mooneye's Ire; Mooneye's Boon,,,,,,,,
CCC-TRI-08,Dreadful Wail (Part 4 of the Nightmare series),5-10,8,4,"Poition of Greater Healing, Spell Scroll of Hold Monster",Ring of the Ram,,,"A Hag’s Love
Foggy Memory",,,,,,,,
CCC-TRI-09,Tinhammer Falls (Prelude to the Beholder Corps series),1-4,2,4,,War Pick +1,,,,,,,,4,4,1,10
CCC-TRI-10,Contact,11-16,14,4,"Spell Scroll of Comprehend Languages, Spell Scroll of Animate Dead",Dwarven Plate,,Necromancer's Spellbook,Story Awards: Honorary Corps Member; Beholder Corps Cadet; Beholder Corps Ensign; Beholder Corps Lieutenant,,,,,,,,
CCC-TRI-11,Flooded Dreams,1-4,3,4,"Potion of Healing, Spell Scroll of Inflict Wounds",+1 Quarterstaff,,,"Story Award: 
Under My Thumb",,,,,,,,
CCC-TRI-12,Ill Met in Ylraphon,1-4,3,4,"Spell Scroll of Sending, Potion of Healing",Quiver of Ehlonna,,,"Story Award: 
See Me Again When You Are Worthy",,,,,,,,
CCC-TRI-13,What Lies Beneath Ylraphon,1-4,3,4,Spell Scroll of Enlarge / Reduce,Broom of Flying,,,Story Awards: This Hangover’s Gonna Haunt You; Red Versus Blue,,,,,,,,
CCC-TRI-14,The Voice in the Night (Part Three of the Yulash Series),11-16,13,4,"Potion of Supreme Healing, Spell Scrolls of Blight, Armor of Agathys",Staff of Striking,,,,,,3000,9000/12000,4,8,1,10
CCC-TRI-15,The Dark of the Hive (Part Four of the Yulash Series),11-16,13,4,"Potion of Climbing, Potion of Healing, Spell Scroll of Sunbeam",Tome of Leadership and Influence,,,,,,7025,10125/16875,4,8,1,10
CCC-TRI-16,"Ph'theev, the Despondent (Part One of the Psionic Menace Series)",1-4,3,4,,Immovable Rod,,,,,,,,4,4,1,10
CCC-TRI-17,"Ph'theev, Unbound! (Part Two of the Psionic Menace Series)",1-4,3,4,,+1 Glaive,,,,,,,,4,4,1,10
CCC-TRI-18,Pros & Cons,1-4,1,2,"Potion of Climbing, Potion of Healing, Spell Scroll of Magic Stone",Wand of Conducting,,,"Story Award: 
Mark of Attendance",,,,,2,2,0.5,5
CCC-TRI-19,Dead Men's Tales (Part One of the Dead Men Series),1-4,3,4,"Potion of Healing, Coral Crossbow Bolts +1 (3)",Shield of the Salty Griffon (+1),,,,,,331.93,900/1200,4,4,1,10
CCC-TRI-20,Breaking Yûlash,11–16,13,4,"Potion of Greater Healing, Spell Scroll of Blight, Spell Scroll of Fabricate",Wand of Polymorph,,,Shots Fired,,,,,,,,
CCC-TRI-21,The Rifts of Madness,11–16,15,4,"Potion of Superior Healing, Spell Scroll of Plane Shift, Spell Scroll of Mass Healing Word, Spell Scroll of Immolation","Armor of Resistance (Scale, Psychic)",,,,,,,,,,,
CCC-TRI-22,On the Barons Trail,11–16,13,4,"Potion of Longevity, Spell Scroll of Sickening Radiance",Bag of Devouring,,,,,,,,,,,
CCC-TRI-23,Sub Rosa,11–16,13,4,"Potion of Invisibility, Spell Scroll of Skill Empowerment","Studded Leather Armor, +2",,,"Story Awards: 
Just Rewards, Relentless",,,,,,,,
CCC-TRI-24,Knight Errand,11–16,13,4,"Potion of Superior Healing, Spell Scroll of Geas",Manual of Gainful Exercise,,Giant Spellbook,,,,,,,,,
CCC-TRI-25,Dead Men's Treasure (Part Two of the Dead Men Series),5-10,8,4,"Potion of Superior Healing, Potion of Climbing, Spell Scroll of Stinking Cloud","Instrument of the Bards, Cli Lyre",,,,,,,,4,4,1,10
CCC-TRI-26,Touch the Stars,1-4,,4,"Potion of Healing, Spell Scroll of Cause Fear",Boots of Striding and Springing,,,,,,,,,,,
CCC-TRI-27,In the Vault of Stars,5-10,,4,,Greatsword +2,,,,,,,,,,,
CCC-TRI-28,Siege of the Yellow Rose,11-16,,4,,Robe of Stars,,,,,,,,,,,
CCC-TRI-29,Tidefall,11–16,13,4,,Dagger +3,,,,,,,,,,,
CCC-TRI-30,Remnants of a Dream,1–2,1,5 (5 1-hour minis),,Cloak of Many Fashions,,Traveling Spellbook,Story Awards: Busted!; “My Hewo! Have a cookie!”,,,,,,,,
CCC-TRI-31,Out of Time,5-10,7,4,,Dimensional Shackles,,,Story Awards:  Enmity of the Stouthammers; Friends in Hot Places,,,,,,,,
CCC-TRI-32,Casks and Caskets,1-4,3,2,,Amulet of Proof Against Detection and Location,,,"Story Award
Known to the Daggers",,,,,,,,
CCC-TRI-33,Matters of Life and Death,1-4,3,2,,Ring of Mind Shielding,,,,,,,,,,,
CCC-TRI-34,Rise of the Sea Dragon,5-10,5,2–4,,Weapon of Warning (Trident),Candle of the Deep,,Story Award: The Mark of the Dead,,,,,,,,
CCC-TTS-1 ,Three Moles for Father Octavius,1-4,,2,,Goggles of Night,,,The Freedom of Kennan’s Cove,,,,,,,,
CCC-TTS-3,Heart of the Storm,1-4,,2,,Decanter of Endless Water,,,Savior of the Golden Trout,,,,,,,,
CCC-TXLIFE-01,House of Masks,5-10,8,2-4,"Scroll of Steel Wind Strike, Scroll of Revivify","Moonfire Globe (Gem of Brightness, Language Property - Undercommon)",Cloak of Many Fashions,,Zethlentyn Socialite,,,,,,,,
CCC-UBCON01-01 ,Back Home Again,,,,,,,,,,,,,,,,
CCC-UBCON01-03,Grime and Gears ,,,,,,,,,,,,,,,,
CCC-UBCON2020-02,Realm of the Brand,,,,,,,,,,,,,,,,
CCC-UCON-01,Blood and Fog,5-10,7,4,Potion of Greater Healing,Berserker Axe (Flail),,,I Got a Puppy!,,,2200+,3750/5000,4,4,1,10
CCC-UCON02-01,The Goat Mayor,1-4,,2-4,Potion of Healing,Helm of Comprehending Languages,,,,,,,,,,,
CCC-UCON02-02,The Straw Bears,1-4,3,2-4,Potion of Healing,Decanter of Endless Water,Clockwork Amulet,,,,,,,,,,
CCC-UCON03 ,Rescue Down Under,5-10,8,2-4,Potion of Healing x2,Folding Boat,,,,,,,,,,,
CCC-UK-1,Call of the Elvenflow,1-4,1,4,,Dust of Dryness,,,Blessing of the Hexad,,,500,225/375,4,4,1,10
CCC-UK-2,The Wayward Wives,1-4,3,4,,Broom of Flying,,,Witchfinder,,,500,900/1200,4,4,1,10
CCC-UK-3,The Tainted Grove,1-4,,4,Potion of Healing,Dust of Disappearance,,,Local Hero,,,,,,,,
CCC-UK-4,Bourne of Candles,1-4,,4,Potion of Water Breathing,Cloak of the Manta Ray,,,"Friend of the Bourne
Knight of the Elvenflow Estuary",,,,,,,,
CCC-UNITE-05,House of Moonlight,5-10,8,4,"Potion of Superior Healing, Oil of Slipperiness",Wand of Web,Moon-Touched Sword (Rapier),,"Knowledge of House Tor’Erhyl
Drawn to the Wheel",,,,,,,,
CCC-UNITE-AN-04,Sisterhood of the Blade,1-4,,2,,Lantern of Revealing,Mystery Key,,Mark of the Sisterhood,,,,,,,,
CCC-UNITE-GD-01,House of Diamonds,5-10,8,2-4,"Potion of Greater Healing, Potion of Heroism, Scroll of Stone Shape",Deck of Illusory Desires (Deck of Illusions),Clockwork Amulet,,"Drawn to the Wheel
Dark Consequences",,,,,,,,
CCC-VOTE-01-01,A Small Trifle,5-10,,4,,Weapon of Warning (Javelin),Ersatz Eye,Mage's Spellbook,Banned: Stygia,,,,,,,,
CCC-WWC-01,In the Face of Fear,1-4,3,2,Potion of Healing,Wand of Magic Missiles,,,"Story Award: Courage in the Face of Fear, Downtime Activity: Inspired by Torm, Story Award: Inspired by Torm",,,500,450/650,2,2,0.5,5
CCC-WWC-02,Dark Waters of Hate,1-4,3,2,"Potion of Healing (2), Potion of Water Breathing",Trident of Fish Command,,,"Story Award: Mercy for the Merfolk King, Downtime Activity: Inspired by Torm, Story Award: Inspired by Torm",,,500,450/650,2,2,0.5,5
CCC-WWC-03,Tyrant of the Forgotten Forge,1-4,3,2,,Bag of Holding,,,"Story Award: Worthy Sacrifice, Downtime Activity: Inspired by Torm, Story Award: Inspired by Torm",,,750,450/650,2,2,0.5,5
CCC-WWC-04,The Black Hand,1-4,3,4,"Potion of Healing (9), Potion of Hill Giant Strength",Cloak of Protection,,,,,,1800,900/1200,4,4,1,10
CCC-WWC-05,Tyrant of Orcs,5-10,,2,Potion of Invulnerability,Ring of Warmth,,,"Torm’s Honor
Touched by Torm",,,,,,,,
CCC-WWC-06,The Fear of Fiends,5-10,8,4,"Spell Scrolls: Feather Fall, Silence",Brooch of Shielding,,,Torm's Compassion; Touched by Torm,,,,,,,,
CCC-WWC-07,The Icy Hand of Fate,5-10,8,4,"Potion of Greater Healing, Potion of Heroism",Sentinel Shield,,,Torm's Duty; Touched by Torm,,,,,,,,
CCC-WWC-08,Pool of Annihilation,5-10,8,4,,Gloves of Missile Snaring,Mystery Key,,Mark of Bane; Divine Spark,,,,,,,,
CCC-WWC-09,Defenders of Est'Ellma,1-4,,2,"Potion of Animal Friendship, Spell Scroll of Protection from Evil and Good",Decanter of Endless Water,,,,,,,,,,,
CCC-WWC-10,Brental's Roads Scholars,1-4,,2,"Potion of Greater Healing, Spell Scroll of Alarm",Immovable Rod,,,,,,,,,,,
CCC-WYC-INTRO-01,A Bridge to Thar,1-4,,2,Potion of Climbing,Immovable Rod,,,,,,,,,,,
CCC-WYC-INTRO-02,The Ballad of Naoki and Koa,1-4,,2,"Potion of Fire Breath, Potion of Greater Healing",Immovable Rod,,,,,,,,,,,
CCC-WYC-02-01,The Light of Heresy,,,,,,,,,,,,,,,,
CCC-WYC-02-02,A Shard of Shar,,,,,,,,,,,,,,,,
CCC-WYC-02-03,What History Leaves Behind,,,,,,,,,,,,,,,,
CCC-WYC1-1,Back to the Burning,5-10,8,4,Potion of Greater Healing; Scroll of Teleportation Circle,Brazier of Commanding Fire Elementals,,,The Sacred Oath; Marked by the Fire of Imix,,,1500,4500/6000,4,4,1,10
CCC-WYC1-2,Where Rock and Fire Meet,5-10,8,4,Potion of Fire Resistance,Flare (Flame tongue shortsword),,,,,,1500,4500/6000,4,4,1,10
CCC-WYC1-3,The Dawn Heresy,5-10,8,4,,Wand of Fireballs,,,Joined the Inquisition; Rejected the Inquisition,,,2000,4500/6000,4,4,1,10
CCC-YLRA-SDCC01-1 ,Exploratory Arts,1-4,,4,"Potion of Animal Friendship, Potion of Healing, Spell Scroll of Absorb Elements, Spell Scroll of Ice Knife",Immovable Rod,,,"Ylracon Collector
",,,,,,,,
CCC-YLRA-SDCC01-2,No Good Deed,1-4,,4,"Potion of Greater Healing, Potion of Climbing",Wand of Secrets,,,"Ylracon Collector
",,,,,,,,
CCC-YLRA-SDCC01-3,Cast In Shadow,1-4,,4,"Spell Scroll of Disguise Self, Spell Scroll of Enlarge/Reduce",Periapt of Health,,,"Frogwart’s Friend
Quest of Honor",,,,,,,,
CCC-YLRA01-01,Her Dying Wish,5-10,8,4,"Potion of Fire Giant Strength, Spell Scrolls of Glph of Warding and Water Breathing,",Ioun Stone of Reserve,,A Treatise on Selûne's Phases and the Prediction of Future Events,"Founding Landowner
Eldritch Amber Prison
Local Persuit
Old City Infamy",,,3018,4500/7500,4,4,1,10
CCC-YLRA01-02,Uneasy Lies the Head,5-10,8,4,Potion of Healing (2),"Flame Tongue (Any melee weapon except Club, Greatclub, Spear, Quarterstaff, Lance, or Whip)
UPDATE: The adventure has been changed to only provide swords, but past items are still AL legal.",,Vanquo's Spellbook,"Caveat Venditor
An Emberstar Exclusive
The Moonmaiden’s Waters
…A Terrible Thing to Waste
Local Pursuit
Ylraphon Adventurers Guild",,,2275,4500/7500,4,4,1,10
CCC-YLRA01-03,Bound by Duty,5-10,8,4,"Potion of Greater Healing, Potion of Heroism",Bowl of Commanding Water Elementals,,,"Boon of the Sea Hags
Chiang Goodwill
Chiang Enmity
Local Pursuit
Ylraphon Adventurers Guild",,,4200,4500/7500,4,4,1,10
CCC-ZIEGE-01,Shadows of the Blood Moon,5-10,,4,,FIgurine of Wondrous Power (Ivory Goats),,,Malar’s Bane,,,,,,,,
CCC-ZIEGE-02,Storm of the Blood Moon,5-10,,4,,Ring of the Ram,,,Redcraftian Heroes,,,,,,,,
CCC-ZIEGE-03,Dead Men Feel No Cold,5-10,,4,,Ring of Spell Storing,,,,,,,,,,,
CCC-ZIEGE-04-01,,1-4,,2,,Lantern of Revealing,,,,,,,,,,,
CCC-ZIEGE-04-02,,1-4,,2,"Potion of Healing, Spell Scroll of Revivify",Bag of Tricks (Tan),,,,,,,,,,,