Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
SJ-DC-DWR-01,Dohwar Heist,5-10,8,4,"Smokepowder Packet, Potion of Greater Healing, Keoghtom's Ointment","Cloak of the Bat, Guardian property","Talking Doll, Muttering property",,"Silver Beak Associate, Favor of Periwinkle",,5000,"Pistol
Mundane items included in treasure value as sold",
SJ-DC-DWR-02,Last Flight of the Orca,11-16,13,4,"Smokepowder Packet, Potion of Superior Healing, Spell Scroll Create Spelljamming Helm","Fish Suit, Temperate property","Cloak of Many Fashions, Language property (Elvish)",,"Silver Beak Associate, Silver Beak Partner",,50000,"Musket, Bullet (10), Healer's Kit, Shortsword (12), Light Crossbow (12), Crossbow Bolt (240)
Mundane items included in treasure value as sold",
SJ-DC-DWR-03,Red Flag Of Dread,11-16,13,4,"Potion of Superior Healing, Smokepowder Packet, Spell Scroll of Air Bubble (5th level)","Scimitar of Speed, Guardian property","Hat of Wizardry, Covetous property",Silver Beak Standing,Silver Beak Standing,,50000,Awards invalid upcasted spell scroll,
SJ-DC-EBAL-SPKY-01,Mergryn's Helm,1-4,3,2,"Potion of Healing, Spell Scroll of Protection from Evil and Good","Eldritch Claw Tattoo, Guardian property",,,Dry Gordon's Occult Map,Christopher M. Moreman,250,"Pistol, Bullet (20)",
SJ-DC-EBAL-SPKY-02,Reading the Mappa Mortuum,1-4,3,2,Smokepowder Packet,"Rope of Climbing, Unbreakable property",,,,Christopher M. Moreman,250,,
SJ-DC-EBAL-SPKY-03,Voidweaver's Web,5-10,8,4,Potion of Greater Healing,"Figurine of Wondrous Power (Ebony Fly), Repulsive property",,,Voidweaver's Shard,,5000,,
SJ-DC-ECHO-01,Starfall,11-16,13,2,Smokepowder Packet,"Astromancy Archive, Song Craft property","Hat of Wizardry, Hidden Message property",,,,25000,Pistol,
SJ-DC-ECHO-02,Bug Hunt,1-4,3,4,"Smokepowder Packet, Pixie Dust, Spellwrought Tattoo of Fireball","Eldritch Claw Tattoo, Guardian property",Masquerade Tattoo,,,,500,Musket,
SJ-DC-ECHO-03,Gold Rush,5-10,8,4,"Smokepowder Packet, Potion of Fire Resistance, Potion of Healing","Wand of Fireballs, Strange Material property (adamantine)","Cloak of Many Fashions, Temperate property",,,,5000,Pistol,
SJ-DC-ECHO-04,Return to Echo Three,5-10,8,2,Smokepowder Packet,"Hand Crossbow +2, Illusion property",,,,,2500,,
SJ-DC-END-01-01,A Pirate's Life,5-10,8,4,"Potion of Poison, Smokepowder Packet, Spell Scroll of Air Bubble","Cloak of the Bat, Beacon property","Tankard of Sobriety, Illusion property",,,,5000,Pistol,
SJ-DC-END-01-02,The Runaround,5-10,8,4,"Spellwrought Tattoo of Mending, Potion of Greater Healing, Smokepowder Packet, Spell Scroll of Water Breathing","Elemental Essence Shard (Water), Language property (Sahuagin)",,,,,5000,Pistol,
SJ-DC-END-01-03,Caught in the Crossfire,5-10,8,4,"Spellwrought Tattoo of Light, Potion of Greater Healing, Smokepowder Packet, Spell Scroll of Blindness/Deafness","Wand of Fireballs, Harmonious property",,,,,5000,"Musket, Spellbook (Illusionist)",
SJ-DC-END-01-04,Echoes in Space,5-10,8,2,Smokepowder Packet,"Longsword +2, Guardian property",,,,,2500,"Staff, Tinker's Tools, Pistol",
SJ-DC-END-01-05,Fool's Hope,5-10,8,4,"Potion of Fire Breathing, Smokepowder Packet, Spell Scroll of Remove Curse","Half Plate +1, Strange Material property (crystallised energy)","Cloak of Many Fashions, Delver property",,,,5000,Musket,
SJ-DC-END-01-06,Wildspace Race,5-10,8,2,Smokepowder Packet,"Rhythm-Maker's Drum +2, War Leader property",,,,,2500,Pistol,"Cover indicates a 4 hour adventure, text is a 2 hour adventure"
SJ-DC-ENIGMA,Bloom & Doom,5-10,8,4,"Potion of Growth, Potion of Greater Healing, Potion of Healing","Whip +2, Language property (Aartuk)",Heward's Handy Spice Pouch,,,,5000,,
SJ-DC-EPOCH-01,Chasing the Morning Light,5-10,8,2,Smokepowder Packet,"Longbow +2, Wicked property",,,,,2500,"Musket, Spellbook (Mage)",
SJ-DC-EPOCH-02,Darkening Skies,5-10,8,2,Smokepowder Packet,"Elemental Essence Shard (Air), Language property (Auran)",,,,,2500,"Pistol, Spellbook (Conjurer)",
SJ-DC-EPOCH-03,Liminal Spaces,5-10,8,2,Smokepowder Packet,"Breastplate +1, Strange Material (chitin)",,,,,2500,"Pistol, Spellbook (Diviner)",
SJ-DC-EPOCH-04,Across the Heavens,5-10,8,2,Smokepowder Packet,"Astromancy Archive, Guardian property",,,,,2500,Musket,
SJ-DC-ETA,You Are My Sunshine,11-16,13,4,"Spell Scroll of Create Spelljammer Helm, Potion of Invulnerability, Potion of Heroism","Absorbing Tattoo, Harmonious property","Tankard of Sobriety, Strange Material property (turnips)",,,,50000,Musket (included as part of awarded gold),"Player choice drives magic item type, making it unavailable as DM award"
SJ-DC-ETO-1,Enter the Octalith - Chapter 1,11-16,15,4,Potion of Greater Healing,Frost Brand Longsword,Heward's Handy Spice Pouch,,,,13500,,"Individual adventures not available separately. Adventure text shows SJ-DC-ETA-1, DM's Guild page and file name have SJ-DC-ETO-1"
SJ-DC-ETO-2,Enter the Octalith - Chapter 2,11-16,15,2,Potion of Greater Healing,Staff of Defense,Clothes of Mending,,,,10000,,"Individual adventures not available separately. Adventure text shows SJ-DC-ETA-2, DM's Guild page and file name have SJ-DC-ETO-2"
SJ-DC-FAT-01,Flight of the Chungus,5-10,8,4,"Potion of Bottled Breath, Potion of Greater Healing",Elemental Essence Shard (Air),Horn of Silent Alarm,,Big Softie Squish Muffin,,3100,,
SJ-DC-FAUX-01,Wayfarer's Log: The Dohwar Chronicle,1-4,3,4,"Potion of Animal Friendship, Potion of Greater Healing, Smokepowder Packet","Eldritch Claw Tattoo, Sentinel property (Aberrations)","Hat of Wizardry, Language property (Deep Speech)",,"This is Fine, All In a Day's Work, The Consequences of My Actions",,300,"Musket, Plate Barding (Space Swine)",
SJ-DC-FAUX-02,Wayfarer's Log: The Hamster Trail,5-10,8,4,"Dust of Corrosion, Oil of Slipperiness, Spellwrought Tattoo of Spirit Guardians","Elemental Essence Shard (Water), Temperate property","Pole of Collapsing, Unbreakable property",,I See You,,5000,Spellbook (Transmuter),
SJ-DC-FAUX-03,Wayfarer's Log: The Lunar Sea,11-16,13,4,"Potion of Invulnerability, Bead of Force, Spellwrought Tattoo of Shadow of Moil","Carpet of Flying (4x6), Language property (Draconic)","Horn of Silent Alarm, Delver property",,"Security Expert, Remember Me",,50000,,
SJ-DC-FAUX-04,Wayfarer's Log: The Art of War,11-16,13,4,"Elixir of Health, Potion of Invulnerability, Spellwrought Tattoo of Create Spelljamming Helm","Absorbing Tattoo (Force), War Leader property","Talking Doll, Song Craft property",,,,50000,"Glassblower's Tools (2), Tinker's Tools",
SJ-DC-FLF-01,The Floof From Planet Floof,5-10,5,4,"Spellwrought Tattoo of Druidcraft, Potion of Healing, Smokepowder Packet",Wand of Fireballs,,,,,2700,Musket,
SJ-DC-FLUMPH-01,Flurry of Flumphs,1-4,3,2,"Potion of Healing, Potion of Comprehension, Spell Scroll of Find Familiar","Javelin of Lightning, Guardian property",,,"Blessing of the Flux, Friend of Flumphs, Mollymawk Mercy, The Nutty Professor",,500,Pistol,
SJ-DC-FLUMPH-02,Frightmare of the Flux,5-10,8,2,Smokepowder Packet,"Astromancy Archive, Songcraft property",,,"Blessing of the Flux II, Friend of Flumphs II, Symphony of Madness",,2500,Musket,Incorrect gold calculation
SJ-DC-FLUMPH-03,Flux Wars,11-16,13,4,Scroll of Protection (Aberration),"Absorbing Tattoo (Psychic), Guardian property","Clothes of Mending, War Leader property",,"Blessing of Protection, Blessing of the Flux III, War in Heaven: Flux, Dreadnought Slayer, The Traveler",,50000,Musket,"Musket not awarded in the adventure, only listed in the Reward Summary"
SJ-DC-FLUMPH-04,Flaw in the Machine,11-16,13,4,Spell Scroll of Dream,"Sapphire Buckler, Guardian property","Pipe of Remembrance, Language property (Deep Speech)",,"Blessing of Magic Resistance, Blessing of the Flux IV, Disciple, Flaw's Gift",,50000,Musket,"Musket not awarded in the adventure, only listed in the Reward Summary"
SJ-DC-FTC-02,A Ship Adrift v09,5-10,8,4,,,,,,,,,
SJ-DC-FXC-JEFF-01,the Intergalactic Rodeo,5-10,8,4,Smokepowder Packet,Maul +2,Talking Doll,,Bacon Buddy,,0,"Pistol (2), Musket, Bullet (1000)","Refers to invalid Hourly GP, awards random consumables, awards too many firearms"
SJ-DC-GGS-01,Avoid the Tabloids!,1-4,3,4,"Bead of Nourishment, Perfume of Bewitching, Mystery Key","Hat of Disguise, Guardian property","Tankard of Sobriety, Beacon property",,Friends with Guy,,500,,
SJ-DC-GON-01,A Cage in the Void,5-10,8,4,"Spellwrought Tattoo of Spirit Guardians, Oil of Slipperiness, Smokepowder Packet","Gauntlets of Flaming Fury, Guardian property","Pipe of Remembrance, Language property (Quori)",,"Abducted, The Lifehelm, Crashed and Marooned, Rescued",,5000,Musket,Language property on magic item is an Eberron-only language
SJ-DC-HAG,Put Your Hag Together,5-10,8,2,Potion of Radiant Resistance,"Elemental Essence Shard (Fire), Sentinel property (Dragons)",,,,,2500,,
SJ-DC-HAPPY NEW YEAR,Happy New Year!,5-10,8,2,Potion of Growth,Cloak of the Bat,,,,,2400,Costume Clothes (4),
SJ-DC-HBI-001,Hardy and Beholder Investigations: The Stowaway,1-4,3,4,"Spell Scroll of Sleet Storm, Potion of Greater Healing, Spell Scroll of Invisibility",Bracers of Archery,Clockwork Amulet,,,,700,,"Though it has an AL code, this may not be a legal adventure: it contains nonstandard formatting, overawards gold and equipment, does not use treasure headings and uses custom stat blocks."
SJ-DC-HBI-002,Hardy and Beholder Investigations: The Hitchhiker,1-4,3,4,"Bead of Nourishment, Sling Bullets +1 (4), Potion of Healing",Alchemy Jug,Chest of Preserving,,,,0,,"Though it has an AL code, adventure contains ""open play"" custom options that are not explained as being outside of AL. Additionally, it contains nonstandard formatting, uses custom magic items and equipment, does not use treasure headings and uses references to XP."
SJ-DC-HBI-003,Hardy and Beholder Investigations: The Reckoning,1-4,3,4,"Bottled Breath, Potion of Growth, Spell Scroll of Faerie Fire",Gray Bag of Tricks,Wand of Conducting,,,,0,,
SJ-DC-HERO-02,The Fortress of the Barracuda,1-4,,,,,,,,,,,
SJ-DC-HORNET-01,The Ghost Ship's Sting,1-4,3,2,"Potion of Healing, Potion of Climbing, Spell Scroll of Tasha's Caustic Brew","Guardian Emblem, Gleaming property",,,,,250,Musket,Spell Scroll listed in reward summary not awarded by the adventure or on Player Handout
SJ-DC-HYS-01,The Hysterio,5-10,9,4,"Potion of Greater Healing, Potion of Psychic Resistance, Potion of Hill Giant Strength","Wand of Fireballs, Harmonious property","Horn of Silent Alarm, Sentinel property (Dragons)",,Honorary Crewmate of The Nebo,,5000,"Splint, Plate, Longsword (3), Backpack (2), Sack (2), Silk Rope, Mace, Warhammer, Studded Leather, Dagger (4), Component Pouch",
SJ-DC-HYS-02,Darkside of Selûne,11-16,12,4,"Spell Wrought Tattoo of Mass Cure Wounds, Bead of Force, Dust of Disappearance","Ghost Step Tattoo, Sentinel property (Aberrations)",Pole of Collapsing,,Favor of the Priestess of the High Moonlight,,11000 + 350 each character,,
SJ-DC-IGC-ECP-01,Stoneheart,11-16,13,2,"Dust of Dryness, Potion of Growth, Smokepowder Packet","Elemental Essence Shard (Earth), Language property (Terran)","Pole of Collapsing, Delver property",,,,24000,,
SJ-DC-IGC-ECP-02,Coldsnap,11-16,13,2,"Oil of Slipperiness, Potion of Water Breathing, Smokepowder Packet","Elemental Essence Shard (Water), Language property (Aquan)","Tankard of Sobriety, Waterborne property",,,,24000,,
SJ-DC-IGC-ECP-03,Conflagration,11-16,13,2,"Keoghtom's Ointment, Spellwrought Tattoo of Ashardalon's Stride, Smokepowder Packet","Elemental Essence Shard (Water), Language property (Ignan)","Pipe of Remembrance, Temperate property",,,,24000,,
SJ-DC-IGC-ECP-04,Cyclone,11-16,13,2,"Dust of Disappearance, Potion of Greater Healing, Smokepowder Packet","Elemental Essence Shard (Air), Language property (Auran)","Rope of Mending, Strange Material property (lightning)",,,,24000,,
SJ-DC-IGC-ECP-05,"Behold, Tiamatron",11-16,13,2,Deck of Miscellany,"Scimitar +2, Strange Material property (cosmic elements)","Staff of Adornment, Guardian property",,,,24000,,
SJ-DC-ISL-01,Speck in the Sky,1-4,3,2,Smokepowder Packet,"Javelin of Lightning, Beacon property",,,,,250,"Pistol, Fishing Equipment, Ration, Costume Clothes, Bagpipes",
SJ-DC-INAS-03,Swamp Strike,5-10,8,4,,Dagger +2,Pole of Collapsing,,,,1000,,
SJ-DC-INAS-04,Of Giants And Dragons: An Ancient Enemy Returns,11-16,13,4,,,,,,,,,
SJ-DC-INAS-05,Of Giants And Dragons: Assault on Rimedyl,11-16,13,4,,,,,,,,,
SJ-DC-KEEP,Kandlekeep Rekonstruktion,5-10,8,4,"Spell Scroll of Air Bubble, Potion of Greater Healing, Keoghtom's Ointment","Elemental Essence Shard (Water), Waterborne property",Har of Wizardry,,"Friend of Candlekeep, Empty Blackness",,4500,Spellbook (Sage),
SJ-DC-KGV-01,Moonlit Mysteries: A Heist to Remember,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Sending, Smokepowder Packet","Astromancy Archive, Harmonious property",Pipe of Remembrance,,Friend of Shamrock Stones,,4700,"Silvered Longsword, Silvered Short Sword, Silvered Maul, Silvered Greatsword, Silvered Greataxe, Silvered Glaive, Silvered Dagger, Pistol, Musket",Awards too many firearms. Awards an Eberron-only piece of mundane equipment. Reward summary lists an unspecifed mundane spellbook but does not award in the adventure.
SJ-DC-KIS01,Kobolds in Space!,1-4,3,4,,,,,,,,,
SJ-DC-LEGIT-SB-01,Fire Thieves,5-10,8,2,Keoghtom's Ointment,"Elemental Essence Shard (Air), Guardian property",,,Embers Remain,,2500,"Silvered Dagger, Basic Poison (2), Tinker's Tools, Herbalism Kit, Fine Clothes, Smith's Tools",Rewards section mentions a Kindling for the Fire story award that is not mentioned elsewhere.
SJ-DC-LEGIT-SB-02,Club Diamond,5-10,8,2,Spellwrought Tattoo of Clairvoyance,"Breastplate +1, Strange Material property (ceramic/synthetic)",,,"Kindling for the Fire, Embers Remain",,2500,"Clothes (Fine or Common, each character), Costume Clothes (3), Musical Instrument (3), Pistol",
SJ-DC-LEGIT-SB-03,Mergers and Acquisitions,11-16,13,4,"Spellwrought Tattoo of Counterspell, Spell Scroll of Aura of Vitality, Potion of Radiant Resistance","Absorbing Tattoo (Radiant), Strange Material property (light)","Clothes of Mending, Illusion property",,,,50000,,
SJ-DC-LIGA01,Final Assault on Cornellium,1-4,3,4,"Spell Scroll of Sending, Keoghtom's Ointment, Potion of Healing","Javelin of Lightning, Beacon property","Rope of Mending, Strange Material property (dark unknown)",,,,500,,
SJ-DC-LIGA02,The Risen Catacombs of Quinterra,1-4,3,4,Potion of Acid Resistance,Periapt of Health,Instrument of Scribes,,,,500,,
SJ-DC-LIGA03,The Dark Hunger,1-4,3,4,Smokepowder Packet,Goggles of Night,Talking Doll,,,,500,,
SJ-DC-LIGA04,Deep Expedition to Lantan,5-10,8,4,"Potion of Greater Healing, Potion of Water Breathing",Astromancy Archive,Staff of Adornment,,,,4600,,
SJ-DC-LIGA05,Oozed and Confused,5-10,8,4,"Spellwrought Tattoo of Antagonize, Spellwrought Tattoo of Leomund's Tiny Hut, Potion of Poison Resistance","Wand of Fireballs, Guardian property","Tankard of Sobriety, Beacon property",,Herald Caught!,,4000,,
SJ-DC-LIGA06,A Strike to Hadar's Tentacles,5-10,8,4,"Spellwrought Tattoo of Guidance, Spell Scroll of Catnap, Spell Scroll of Aura of Purity, Potion of Psychic Resistance",Greatsword +2,,,"Charm of the Undead Slayer, Devoured by Hadar",,5000,,
SJ-DC-LLL-01,Library Lies & Lift Off!,5-10,8,2,Smokepowder Packet,"Greataxe +2, Sentinel property (Shapeshifters)",,,,,2500,Pistol,
SJ-DC-LNS-01,Spelljammer of the Damned,5-10,8,2,"Potion of Healing, Spell Scroll of Cause Fear, Spell Scroll of Protection Evil Good","Cloak of the Bat, Guardian property",,,"Blood Pact, Candy Cadet, Shadow Drain, Sanguine Maledictus",,2500,"Heavy Crossbow, Light Crossbow (10), Pistol, Musket",Awards too many firearms. Awards an invalid spelljammer.
SJ-DC-LIP-01,Lost in Paradise,5-10,8,4,"Potion of Greater Healing, Potion of Hill Giant Strength, Spellwrought Tattoo of Revivify","Wand of Fireballs, Guardian property","Pole of Collapsing, Unbreakable property",,,,5000,,
SJ-DC-LP-01,Litter Patrol,5-10,8,4,"Keoghtom's Ointment, Potion of Comprehension, Smokepowder Packet",Astromancy Archive,Rope of Mending,,,Rick Way,2750,Pistol,
SJ-DC-MAD-01,Madjammer Nightmare Dome,1-4,3,4,"Smokepowder Packet, Potion of Greater Healing, Spell Scroll of Catapult","Coiling Grasp Tattoo, Temperate property","Talking Doll, Guardian property",,"Fogless's Nemesis, Behemoth's Survivor",,500,"Crowbar, Breastplate, Pistol",
SJ-DC-MAD-02,Mad Effect: Retribution,5-10,8,4,"Potion of Greater Healing, Potion of Hill Giant Strength, Spell Scroll of Lesser Restoration","Net +2, Unbreakable property",Horn of Silent Alarm,,Life Debt,,4000,Musket,
SJ-DC-MB05-AH123,Assault on Hudson 123,1-4,3,4,"Smokepowder Packet, Potion of Greater Healing (x2)","Javelin of Lightning, Unbreakable property","Hat of Wizardry, Language property (Celestial)",,,,500,Pistol,
SJ-DC-MB06-ATFT,A Taste For Trouble,1-4,3,2,"Smokepowder Packet, Potion of Greater Healing","Guardian Emblem, Unbreakable property",,,,,250,Pistol,
SJ-DC-MDW01,Let's Rock!,1-4,3,2,"Potion of Climbing, Potion of Comprehension, Potion of Watchful Rest",Javelin of Lightning,,,,,250,,
SJ-DC-MIST-01,The Haunted Moon,11-16,13,4,Potion of Mind Reading,"Ghost Step Tattoo, Sentinel property (Dragons)","Talking Doll, Guardian property",,"Blessing of Wound Closure, Kindori Skeleton Ship",,50000,Pistol,
SJ-DC-MIST-02,Radiant Descent,11-16,13,4,Spell Scroll of Summon Aberration,"Sapphire Buckler, Harmonious property","Heward's Handy Spice Pouch, War Leader property",,Blessing of Magic Resistance,,50000,Musket,
SJ-DC-MONSTER-01,Phoenix,11-16,13,2,"Potion of Fire Resistance, Spell Scroll of Ashardalon's Stride, Spell Scroll of Fly","Elemental Essence Shard (Fire), Temperate property","Staff of Adornment, Temperate property",,"Azer's Armory, Dragon Rider, Eschantrii Fire Tamer, Flame Serpent, Phoenix Essence, Phoenix Egg",,29500,,Awarded gold unclear due to duplication and typos.
SJ-DC-MONSTER-02,Leviathan,11-16,14,2,"Potion of Acid Resistance, Spell Scroll of Water Breathing, Spell Scroll of Maelstrom","Elemental Essence Shard (Water), Waterborne property","Rope of Mending, Compass property",,"Eschantrii Water Bearer, Leaviathan's Essence, Scaled Egg",,25000,Plate Armor (x2),
SJ-DC-MONSTER-03,Zaratan,11-16,14,2,"Spellwrought Tatto of Druidcraft, Poition of Poison Resistance, Spell Scroll of Erupting Earth, Spell Scroll of Tree Stride","Elemental Essence Shard (Earth), Delver property",,,"Eschantrii Earth Gatherer, Zaratan's Egg, Zaratan's Essence",,25000,Plate Armor (x2),
SJ-DC-MONSTER-04,Tempest,11-16,14,4,Spell SCroll of Maelstrom,"Absorbing Tattoo (Lightning), Guardian property","Pole of Collapsing, War Leader property",,"Blessing of Magic Resistance, Eschantrii Air Acolytes, Tempest's Essence, Tempest's Scion",,50000,Plate Armor (x2),
SJ-DC-MOR-01,"The Ill King, the Rotting Woods, and the Morterino",1-4,3,4,Potion of Greater Healing,Goggles of Night,Horn of Silent Alarm,,,,35 + 100 each character,"Longsword, Trident",
SJ-DC-MWG-01,Playing with the Boys,1-4,3,4,"Spell Scroll of Magic Weapon, Spell Scroll of Haste, Spell Scroll of Revivify","Eldritch Claw Tattoo, Illusion property","Staff of Adornment, Guardian property",,,,500,"Breastplate, Splint, Studded Leather, Scale Mail, Silvered Handaxe, Silvered Scimitar, Tinkerer's Tools, Jeweler's Tools",
SJ-DC-NBDD-01,Where in the Worlds?,5-10,8,4,"Smokepowder Packet, Spell Scroll of Air Bubble, Spell Scroll of Ashardalon's Stride","Astromancy Archive, Compass property","Instrument of Scribing, War Leader property",,"Carmille Goes Free, Carmille Captured",,4800,Musket,
SJ-DC-NCH-01,A String of Pearls,1-4,3,2-4,"Potion of Hill Giant Strength, Smokepowder Packet, Spell Scroll of Air Bubble","Pearl of Power, Harmonious property","Pole of Collapsing, Song Craft property",,I'm a VIP (Very Impearlial Person),,140 each character,Musket,
SJ-DC-NCH-02,"Let's Go, S.A.G.O!",5-10,8,4,"Potion of Greater Healing, Potion of Hill Giant Strength, Spell Scroll of Haste","Wand of Fireballs, Harmonious property","Clothes of Mending, Temperate property",,S.A.G.O Race Record Holder,,5000,,
SJ-DC-NMB1-01,An Enemy,5-10,5,2,Smokepowder Packet,"Wand of Fireballs, Stange Material property (firearm)",,,Underwater Ambassador,,500,Pistol,
SJ-DC-NMB1-02,Kindred Spirits,5-10,6,2,Smokepowder Packet,"Cloak of the Bat, Conscientious property",,,A Third Chance,,1000,Musket,
SJ-DC-NMB1-03,Conclusion in Karpri,5-10,7,2,Smokepowder Packet,"Greataxe +2, Gleaming property",,,An Enemy,,1800,Musket,
SJ-DC-NOS-01,Terminal Escape Velocity,11-16,13,4,"Potion of Superior Healing, Potion of Invulnerability","Ghost Step Tattoo, Harmonious property","Horn of Silent Alarm, Language property (Abyssal)",,,,30000,,
SJ-DC-NOS-02,A Rogue Heart,11-16,13,4,"Dust of Dryness, Potion of Frost Giant Strength","Ring of Regeneration, Conscientious property","Horn of Silent Alarm, Language property (Gith)",,,,,,"Does not award gold, only refers to the table"
SJ-DC-NOS-03,Sol Crash,11-16,14,4,"Spellwrought Tattoo of Sacred Flame, Spell Scroll of Dispel Magic, Spell Scroll of Dawn",Absorbing Tattoo,,,,,,,"Does not award gold, only refers to the table
Player choice drives magic item type, making it unavailable as DM award"
SJ-DC-NOS-04,Caverns and Cultists,11-16,14,4,"Potion of Heroism, Potion of Acid Resistance","Frost Brand Greatsword, Language property (Deep Speech)",Instrument of Scribing,,,,50000,,
SJ-DC-NOS-05,The Lich Queen's Forgotten,11-16,14,4,"Potion of Invulnerability, Potion of Heroism, Oil of Slipperiness","Watchful Helm, Harmonious property","Pipes of Remembrance, Guardian property",,,,,,"Does not award gold, only refers to the table"
SJ-DC-OGC-01,The Hunt For Moby Duck,5-10,7,4,"Spellwrought Tattoo of Green-Flame Blade, Potion of Greater Healing",Astromancy Archive,,,,,1700,,
SJ-DC-OLD-ONE,Broken Pact,11-16,13,4,"Potion of Superior Healing, Potion of Invulnerability, Spell Scroll of Greater Restoration","Carpet of Flying (5x7), Key property",,,Empty Blackness,,25000,,
SJ-DC-PANDORA-JWEI-01,The Pandora Box,11-16,13,4,"Spellwrought Tattoo of Legend Lore, Spell Scroll of Legend Lore, Potion of Heroism","Staff of Striking, Beacon property",,,"Pandora's Irked, Pandora Befriended, Pandora Adopted",,50000,,
SJ-DC-PANDORA-JWEI-02,Pleonexia,11-16,13,4,"Potion of Invulnerability, Spell Scroll of Revivify, Spellwrought Tattoo of Raise Dead","Carpet of Flying (3x5), Temperate property",,,"Greed Shard, Pleonexia's Plea, Pleonexia Adopted, ???, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",,50000,,
SJ-DC-PANDORA-JWEI-03A,Astheneia,11-16,13,2,"Spellwrought Tattoo of Lesser Restoration, Spell Scroll of Lesser Restoration","Staff of Defense, Wicked property",,,"Disease Shard Collected, Felix's Caregiver, Perfect Reunion, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",,25000,,
