Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
SJ-DC-PANDORA-JWEI-03B,Felix!,11-16,13,2,Spellwrought Tattoo of Bless,Gauntlets of Flaming Fury,,,"Tarrasque Egg, Perfect Reunion, Reunited but cursed!, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",,25000,,
SJ-DC-PANDORA-JWEI-04,Fenrir,11-16,13,4,"Quaal's Feather Token (Bird), Spellwrought Tattoo of Aura of Vitality, Potion of Invulnerability","Ghost Step Tattoo, Loud property","Rope of Mending, Language property (Common)",,"Hunger Shard Collected, Master & Pet Reunited, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",,50000,,
SJ-DC-PAT-00,The Moonshot,1 - 4,2,2,Smokepowder Packet,"Brooch of Shielding, Language property (Modron)",,,,,250,"Pistol, Artisan's Tools, Navigator's Tools, Thieves' Tools",
SJ-DC-PAT-01,Lunar Freeze,5-10,8,4,"Smokepowder Packet, Keoghtom's Ointment, Spellwrought Tattoo of Speak with Dead","Greataxe +2, Temperate property",Rope of Mending,,,,5000,"Pistol, Plate Armor",
SJ-DC-PAT-02,Snake-Eye Satellite,5-10,8,2,Smokepowder Packet,"Ykwla +2, Guardian property",,,,,2500,"Pistol, Potter's Tools, Silvered Dagger (7)",
SJ-DC-PHP-02,Securing Passage,1-4,3,2,"Bottled Breath, Spell Scroll of Faerie Fire, Potion of Growth",Wand of Conducting,,,,,250,,
SJ-DC-PHP-BORK,The Borkfather,1-4,3,4,,"Eldritch Claw Tattoo, Guardian property","Pole of Collapsing, Beacon property",,Rehomed Shadow Mastiff,,500,Musket,
SJ-DC-PHP-FLN01-01,Forlorn but not Forgotten,1-4,3,2,Smokepowder Packet,"Coiling Grasp Tattoo, Language property (Elvish)",,,"The First Key Fragment, Darkness Grows",,250,Pistol,
SJ-DC-PHP-FLN01-02,Kaleidoscope Vault,1-4,3,2,Keoghtom's Ointment,"Eldritch Claw Tattoo, Sentinel property (Aberrations)",,,"The Second Key Fragment, Purification Method",,250,,
SJ-DC-PHP-FLN01-03,Unsworn Oath,1-4,3,2,Spellwrought Tattoo of Haste,"Guardian Emblem, Harmonious property",,,A Sage in need is a friend indeed,,250,Trinket,
SJ-DC-PHP-FLN02-01,Away We Go,1-4,3,2,Potion of Cold Resistance,"Pearl of Power, Language property (Sylvan)",,,We're Even,,500,Musket,
SJ-DC-PHP-LRD-01,The First Shades of Dusk,11-16,13,4,"Smokepowder Packet, Spellwrought Tattoo of Holy Weapon, Potion of Heroism","Scimitar of Speed, Language property (Netherese)","Instrument of Scribing, Illusion property",,"A Friend of The Town, Eternal Sun's Favor, Glaring Prominence, Scars Woven",,50000,"Pistol OR Musket, Spellbook (Diviner), Trinket (3)",
SJ-DC-PHP-LRD-02,The Last Rays of Dawn,11-16,13,4,Spellwrought Tattoo of Hallow OR Spell Scroll of Hallow,"Watchful Helm, Harmonious property","Clothes of Mending, Language property (Netherese)",,"Charm of Restoration, The Weave Mended, Sun Keeper's Favor, Independence, Assimilation, Facing the Sun, Event Horizon, Karsus' Chosen",,50000,Musket,
SJ-DC-PHP-OJW-01,"Hook, Line, and Scavver",1 - 4,3,4,Potion of Animal Friendship,"Brooch of Shielding, Hidden Message property","Clothes of Mending, Temperate property",,"Glixnorglex's Gratitude, Chwinga Magical Gift, You're Quite a Catch!, A Reigar's Regard",,500,,
SJ-DC-PHP-ORNG,Thousand Tiny Ducks,11-16,14,4,Chime of Opening,"Carpet of Flying (4x6), Waterbourne property","Rope of Mending, Unbreakable property",,Blessing of Magic Resistance,,50000,,
SJ-DC-PHP-POLAR-01,Folly Undone,11-16,13,4,"Spellwrought Tattoo of Counterspell, Spell Scroll of Dispel Magic, Potion of Invulnerability","Watchful Helm, Language property (Netherese)","Instrument of Scribing, Compass property",,Tainted by Netheril,,50000,,
SJ-DC-PHP-TY-VAL-01,i give you this gift of wings,5-10,9,4,"Potion of Healing, Spell Scroll of Detect Magic, Spell Scroll of Feather Fall",Elemental Essence Shard (Air),"Pole of Collapsing, Guardian property",,"The Giver is Dead, The Giver Flies, Honorary Sky Blade, Ill Words on the Wind",,5000,Pistol,
SJ-DC-PHP-WUMBO,Flight of the Wumbo Bee,5-10,8,4,"Potion of Psychic Resistance, Spell Scroll of Pass without Trace","Wand of Fireballs, War Leader property",Clothes of Mending,,"Associates of AWIT Co., Wumbo Bee Flyer, Lucky Mentor, Wumbology",,5000,Pistol,
SJ-DC-PND-1,The Monster at the End of this Adventure,1-4,3,2,"Spell Scroll of Sleet Storm, Potion of Greater Healing, Spell Scroll of Invisibility","Clockwork Amulet, Muttering property",,,Custer Nate Bibliophile,,250,"Calligrapher's Supplies, Cartographer's Tools, Greataxe",
SJ-DC-PND-2,The Very Hungry Monster,1-4,3,2,"Potion of Growth, Bottled Breath, Spell Scroll of Faerie Fire","Wand of Conducting, Sentinel (Scavver/Shark)",,,Custer Nate Bibliophile,,250,Alchemist's Supplies,
SJ-DC-PND-3,The Little Monster,1-4,3,2,"Bead of Nourishment, Sling Bullets +1 (4), Potion of Healing","Chest of Preserving, Waterbourne property",,,Custer Nate Bibliophile,,250,Exotic Saddle (Giant Bat),
SJ-DC-RFJK-01,Bringing Home the Bacon,1-4,3,2,"Bead of Nourishment, Perfume of Bewitching, Walloping Ammunition (Bullet)","Coiling Grasp Tattoo, Wicked property",,,,,250,,
SJ-DC-RFJK-02-01,Rrakkma Recruitment,11-16,14,2,"Dust of Disappearance, Potion of Psychic Resistance, Spellwrought Tattoo of Intellect Fortress","Breastplate +1, Language property (Gith)","Horn of Silent Alarm, Sentinel property (illithids)",,,,12600,,
SJ-DC-RFJK-02-02,Intelligent Intention,11-16,14,2,"Smokepowder Packet, Oil of Slipperiness, Spell Scroll of Enhance Ability","Staff of Defense, Strange Material property (obsidian)","Hat of Wizardry, Hidden Message property",,,,12600,Spellbook (Mind Flayer Arcanist),
SJ-DC-RFJK-02-03,Colony Calling,11-16,14,2,"Spell Scroll of Remove Curse, Spellwrought Tattoo of Antagonize, Potion of Growth","Figurine of Wondrous Power (Ebony Fly), Guardian property",,,,,10500,,
SJ-DC-RH-01,Honor Beyond Reprieve,5-10,8,4,"Deck of Illusions, Spellwrought Tattoo of Prestidigitation, Potion of Fire Resistance, Spell Scroll of Ashardalon’s Stride","Greatsword +2, Beacon property",,,,,5000,,
SJ-DC-ROCK-01,Turmoil in Bral,5-10,8,4,"Potion of Greater Healing, Potion of Lightning Resistance, Oil of Slipperiness","Hand Crossbow +2, Guardian property",Cloak of Many Fashions,,"Vengeful Tracker, Life Debt",,5000,"Disguise Kit, Spellbook (Abjurer)",
SJ-DC-ROCK-02,Bral Under Siege,5-10,8,4,"Potion of Greater Healing, Potion of Necrotic Resistance, Oil of Slipperiness","Half Plate +1, Guardian property",Horn of Silent Alarm,,"Rock Hero, Life Debt, No One Left Behind",,5000,,
SJ-DC-ROG-01,Rescue on Glyth,11-16,15,4,"Potion of Heroism, Spell Scroll of Nondetection, Spell Scroll of Legend Lore",Instrument of the Bards (Anstruth Harp),Hat of Wizardry,,,,41750,,
SJ-DC-ROTU-00,Recesses of the Unknown (Prologue),5-10,8,4,"Spellwrought Tattoo of Pass without Trace, Spell Scroll of Sending, Potion of Growth",Figurine of Wondrous Power (Ebony Fly),,,"Mystery I, Resonated, Saved",,3900,,
SJ-DC-ROTU-01,Recesses of the Unknown,5-10,8,4,"Potion of Psychic Resistance, Spell Scroll of Intellect Fortress","Astromancy Archive, Guardian property","Horn of Silent Alarm, Guardian property",,"Disrupted and irked, Special one, A key lead in the chase, A dent in the tank, The Hidden Truth, Mystery II",,5000,,
SJ-DC-ROTU-02,Prelude to Finality,5-10,8,2,Spell Scroll of Misty Step,"Wand of Fireballs, Temperate property",,,"A premonition, Archaia",,2500,,
SJ-DC-ROTU-03,Hubris of Gods,11-16,13,4,"Potion of Heroism, Spellwrought Tattoo of Find Greater Steed, Spell Scroll of Circle of Power","Absorbing Tattoo (Force), Harmonious property","Horn of Silent Alarm, Hidden Message property",,"Friend of a (Arch?)Lich!, Red dragon's service, Ire of the githyankis, Rescued Rui",,50000,,
SJ-DC-ROTU-04,Declaration of War,11-16,13,4,"Spellwrought Tattoo of Find Familiar, Spell Scroll of Far Step, Spell Scroll of Dispel Magic","Ghost Step Tattoo, Harmonious property","Masquerade Tattoo, War Leader property",,"Phoning Jacky 999, Ally of giths",,25000,,
SJ-DC-ROTU-05,Return of the Unknown I,11-16,13,4,"Spellwrought Tattoo of Summon Celestial, Spell Scroll of Speak with Dead, Potion of Growth","Staff of Striking, Sentinel property (Aberrations)","Staff of Adornment, Hidden Message property",,"A Hearty Reunion, Mystery III",,50000,Spellbook (Archmage),
SJ-DC-ROTU-06,Return of the Unknown II,11-16,16,4,"Spellwrought Tattoo of Warding Bond, Spellwrought Tattoo of Circle of Power, Potion of Invulnerability","Ring of Regeneration, Guardian property","Talking Doll, Key property",,"Hero of Spellbound, Eternally her Hero, End of Spellbound, True Ending A, True Ending B, Secret Ending, Perfect Ending, Ending Z: You own ending",,50000,,
SJ-DC-ROTU-07,"Recesses of the Unknown, Epilogue",11-16,13,4,"Smokepowder Packet, Spellwrought Tattoo of Intellect Fortress, Arrow +2 (5)","Carpet of Flying (3x5), Guardian property","Clothes of Mending, Temperate property",,ROTU Completed,,50000,Musket,
SJ-DC-SCN-01,Monkey Business,5-10,8,4,,,,,,,,,
SJ-DC-SCN-02,Monkey King,5-10,8,4,,,,,,,,,
SJ-DC-SCR-01,Scraps for the Dragon,5-10,8,4,"Potion of Fire Breath, Potion of Necrotic Resistance, Potion of Poison Resistance","Longbow +2, Strange Material property (dragon bone)",Hat of Wizardry,,,,5000,,
SJ-DC-SQD,Squidaddle,1 - 4,3,2,Keoghtom's Ointment,"Coiling Grasp Tattoo, Conscientious property",,,,,250,,
SJ-DC-SQD2,Squidoosh!,1-4,3,2,Spellwrought Tattoo of Counterspell,"Hat of Disguise, Harmonious property",,,,,250,,
SJ-DC-SSM-UBCon-01,On (The) Edge,5-10,8,4,"Spellwrought Tattoo of Green-Flame Blade, Potion of Hill Giant Strength, Spell Scroll of Air Bubble, Spell Scroll of Summon Beast","Longbow +2, Language property (Gnomish)",,,Wasn't That a Party?,,5000,,
SJ-DC-STRATCON-01,The Lost God,5-10,8,4,"Potion of Animal Influence, Potion of Necrotic Resistance, Spell Scroll of Sleet Storm","Half Plate +1, Strange Material property (topaz dragon scales)","Clothes of Mending, Temperate property",,"Dinosaur Healer, Do I Know You?",,5000,Spellbook (Evoker OR Transmuter),
SJ-DC-SUS-01,Starship Under Siege,1-4,3,4,"Potion of Healing, Spell Scroll of Prestidigitation, Spellwrought Tattoo of Shield","Brooch of Shielding, Language property (Draconic)",,,,,500,,
SJ-DC-SYL-01,Prismatic Invitation,1 - 4,3,4,,"Pearl of Power, Beacon property","Cloak of Many Fashions, Gleaming property",,Banished from Syl Cimura,,500,"Alchemist's Tools, Herbalism Kit",
SJ-DC-SYL-02,Prismatic Induction,1 - 4,3,4,"Spell Scroll of Lesser Restoration, Potion of Growth, Spell Scroll of Detect Thoughts","Bag of Holding, Muttering property","Clothes of Mending, Temperate property",,"Rank, Banished",,600,,Awards too much gold
SJ-DC-TBE-04,A Space Rendezvous,5-10,8,2,Smokepowder Packet,"Wand of Fireballs, Strange Material property (obsidian)",,,,,2500,Musket,
SJ-DC-TBS-01,Duo Death,11-16,16,4,,,,,,,,,
SJ-DC-TBS-02,Infernal Immolators,11-16,16,4,,,,,,,,,
SJ-DC-TBS-04,Brightshill,5-10,10,4,"Potion of Advantage, Keoghtom's Ointment","Heavy Crossbow +2, Guardian property",Tankard of Sobriety,,"Bounty-License, Novice Hunter, Bronze Hunter, Silver Hunter, Gold Hunter, Platinum Hunter, Master Hunter, Legendary Hunter",,5000,,
SJ-DC-TEL-01,Strange Light in the Darkness,5-10,8,4,"Smokepowder Packet, Spell Scroll of Tongues, Potion of Greater Healing","Whip +2, Beacon property","Instrument of Scribing, Guardian property",,,,1000,Musket,
SJ-DC-TEL-02,Lure of the Transient,5-10,8,4,"Smokepowder Packet, Potion of Greater Healing","Staff of Defense, Metamorphic property","Pipe of Remembrance, Song Craft property",,,,2000,Pistol,Adventure Incomplete
SJ-DC-TEL-03,Pieces of Pain,5-10,8,4,"Smokepowder Packet, Spellwrought Tattoo of Cantrip, Spell Scroll of Tongues, Potion of Greater Healing","Gem of Seeing, Repulsive property",,,,,3000,Pistol,"Adventure Incomplete, Awards an undefined Tattoo"
SJ-DC-TEL-04,Turn of the Tide,5-10,8,4,"Smokepowder Packet, Potion of Greater Healing","Gauntlets of Flaming Fury, Sentinel property (Orcs)","Pole of Collapsing, Delver property",,,,4000,Musket,Adventure Incomplete
SJ-DC-TEL-05,"Many, Many Modrons",5-10,8,4,"Smokepowder Packet, Potion of Greater Healing","Wand of Fireballs, Language property (Elvish)","Rope of Mending, Wicked property",,,,5000,Pistol,Adventure Incomplete
SJ-DC-TEL-06,Misery Loves Company,5-10,8,4,,,,,,,,,
SJ-DC-TEL-07,At the Mouth of Decidua,11-16,14,4,,,,,,,,,
SJ-DC-TEL-08,Seclusion of the Snakelords,11-16,14,4,,,,,,,,,
SJ-DC-TEL-09,The Noble Struggle,11-16,14,4,,,,,,,,,
SJ-DC-TEL-10,Chamber of Strife,11-16,14,4,,,,,,,,,
SJ-DC-TEL-11,Temptation for Tiamat,11-16,14,4,,,,,,,,,
SJ-DC-TEL-12,Tiamat Wept,11-16,14,4,,,,,,,,,
SJ-DC-THID-MB04,The Horror in Darkfall,1-4,3,2,Potion of Greater Healing,"Coiling Grasp Tattoo, Harmonious property",,,,,250,,
SJ-DC-TKM-01,Lost Stars,1-4,3,2,Spell Scroll of Calm Emotions,"Brooch of Shielding, Guardian property",,,"In Case of Emergency, A Premonition",,250,,
SJ-DC-TKM-02,"Tink, Tink, Boom!",1-4,3,2,Oil of Slipperiness,"Goggles of Night, Language property (Draconic)",,,"Primary Dose, Reserve Dose",,250,,
SJ-DC-TKM-03,It Runs in the Blood,5-10,8,4,"Spellwrought Tattoo of Revivify, Spellwrought Tattoo of Beacon of Hope, Spell Scroll of Air Bubble","Breastplate +1, Strange Material property (tree bark, moss, leaves)","Clothes of Mending, Temperate property",,"A Fond Remembrance, 10-999 Officer Down",,5000,,
SJ-DC-TKM-04,Darkness Descending,5-10,8,4,"Spellwrought Tattoo of Revivify, Potion of Greater Healing, Potion of Cold Resistance","Elemental Essence Shard (Water), Harmonious property","Horn of Silent Alarm, Guardian property",,Sigma Companion,,5000,,
SJ-DC-TKM-CH01,A Proper Farewell,1-4,3,2,Potion of Greater Healing,"Periapt of Health, Beacon property",,,Honorary Celestial Hearse Member,,250,,
SJ-DC-TKM-CH02,A Final Farewell,1-4,3,2,Spellwrought Tattoo of Spirit Guardians,"Guardian Emblem, Conscientious property",,,"Honorary Celestial Hearse Member, Broken Bonds",,250,,
SJ-DC-TKM-CH03,A Sorrowful Farewell,5-10,8,2,Keogthom's Ointment,"Necklace of Prayer Beads, Sentinel property (Undead)",Orb of Time,,"Honorary Celestial Hearse Member, Honorary Celestial Hearse Member Rank 2, Pursuer of Pacifism",,2500,,
SJ-DC-TKM-WGS,The Light and the Lost,5-10,8,4,"Spellwrought Tattoo of Enhance Ability, Potion of Greater Healing, Potion of Comprehension","Helm of Teleportation, Harmonious property","Half Plate Armor of Gleaming, Strange Material property (hard wood)",,"It Has Its Ups and Downs, No Thanks to Us",,5000,,
SJ-DC-TRIDEN-BZ,Sweet Dreams are Made of Bees,11-16,13,4,Dried Leech Crossbow Bolt,"Sapphire Buckler, Harmonious property","Tankard of Sobriety, Guardian property",,"Blessing of Magic Resistance, Just Bee Yourself",,33330,,
SJ-DC-TRIDEN-MW,Mighty Wings,1 - 4,3,4,Spellwrought Tattoo of Air Bubble,"Goggles of Night, Gleaming property","Clothes of Mending, Temperate property",,"Mighty Wings Graduate, Top Wing",,500,,
SJ-DC-TRIDEN-MW2,Danger Zone,5-10,8,4,"Potion of Advantage, Potion of Force Resistance, Spellwrought Tattoo of Feather Fall","Rhythm-Maker’s Drum +2, Harmonious property","Clothes of Mending, Temperate property",,"Nav and Zeus Live, Nav and Zeus Die",,700 each character,,
SJ-DC-TRIDEN-MW3,Destination Unknown,11-16,13,4,"Smokepowder Packet, Potion of Heroism, Spellwrought Tattoo of Holy Weapon","Staff of Striking, Harmonious property","Horn of Silent Alarm, Language property (Celestial)",,"I Hold Destiny, Medusa Condition: Excellent, Medusa Condition: Poor, The Sword of Kas, Travel Time: Early, Travel Time: Delayed",,700 each character,,
SJ-DC-TRIDEN-MYKE-01,Every Breath You Take,11-16,14,4,"Spellwrought Tattoo of Message, Spell Scroll Spelljamming Helm, Potion of Superior Healing, Potion Fire Giant Strength","Fish Suit, Temperate property",,,Friend of the Defiance,,50000,Musket,
SJ-DC-TRIDEN-MYKE-02,Every Move You Make,11-16,14,4,"Potion of Heroism, Potion of Superior Healing, Potion of Frost Giant Strength","Scimitar of Speed, Harmonious property",Rope of Mending,,"Friend of the Defiance, Noticed by Nyx, Delivered the Betrayer, Dispatched the Betrayer",,50000,,
SJ-DC-TRIDEN-MYKE-03,Every Bond You Break,11-16,14,4,Winged Arrow,"Carpet of Flying (4x6), Waterborne property",Heward's Handy Spice Pouch,,"Blessing of Magic Resistance, Every Step You Take - Trayah Space, Every Vow You Break - Trayah Space",,50000,,"Rewards suggests Winged Arrow ammunition is granted in a bundle of 5, but only one of a special ammunition is awarded by an adventure."
SJ-DC-TRIDEN-SD,Shot in The Dark,5-10,8,2,Smokepowder Packet,"Rhythm-Maker’s Drum +2, Song Craft property",,,Wildspace Rockstar,,2500,,
SJ-DC-TRIDEN-TFC,The Final Countdown,11-16,13,4,,,,,,,,,
SJ-DC-TRIDEN-UPR,Under Pressure,1-4,3,2,Elemental Gem (Red Corundum),"Javelin of Lightning, Unbreakable property",,,,,500,,
SJ-DC-TST-01,Bulan (Moon),11-16,13,4,"Keoghtom's Ointment, Potion of Superior Healing",Absorbing Tattoo (Psychic),Instrument of Scribing,,,,14000,Musket,
SJ-DC-TST-02,Datu (Chief),11-16,13,4,"Spell Scroll of Telekinesis, Potion of Mind Reading",Ring of Regeneration,Talking Doll,,,,15000,,
SJ-DC-TST-03,Bakunawa,11-16,13,2,"Potion of Greater Healing, Spell Scroll of Air Bubble","Rhythm-Maker’s Drum +2, Song Craft property",Horn of Silent Alarm,,,,30000,,Awards too much gold.
SJ-DC-TTUC-01,Shipyard Dilemma,1-4,1,4,"Smokepowder Packet, Restorative Ointment","Javelin of Lightning, Language property (Gnome)","Rope of Mending, Delver property",,,,50 each character,,"Implies a Pistol is awarded in text, but not listed as treasure."
SJ-DC-TTUC-02,Among Us,1-4,3,4,"Smokepowder Packet, Oil of Slipperiness, Potion of Water Breathing","Hat of Disguise, Harmonious property","Tankard of Sobriety, Blissful property",,,,500,"Javelin (5), Net, Fishing Tackle, Healer's Kit, Spellbook (Apprentice Wizard), Spellbook (Pirate Deck Wizard), Spellbook (Illusionist Wizard)",Primary Magic Item has more than one property.
SJ-DC-TTUC-03,Will of King,1-4,3,4,"Smokepowder Packet, Potion of Animal Friendship, Restorative Ointment",Eldritch Claw Tattoom Guardian property,"Talking Doll, Beacon property",,,,500,"Silvered Weapon (ea), Pistol",
SJ-DC-TTUC-04,I want a Giff for Winter Solstice,5-10,8,4,"Smokepowder Packet, Potion of Comprehension, Restorative Ointment","Figurine of Wondrous Power (Ebony Fly), Beacon property","Heward's Handy Spice Pouch, Temperate property",,,,5000,"Pistol, Silvered Dagger, Adamantine Light Hammer",
SJ-DC-TTUC-05,5 by 5,5-10,9,4,"Smokepowder Packet, Potion of Fire Breath, Spellwrought Tattoo of Revivify","Rhythm-Maker’s Drum +2, Language property (Draconic)","Horn of Silent Alarm, War Leader property",,,,5000,"Pistol, Ration",
SJ-DC-TTUC-06,Party Crashers,11-16,13,4,"Feather Token (Bird), Spellwrought Tattoo of Mending","Ring of Regeneration, Harmonious",,,Blessing of Valhalla,,50000,Plate Armor,
SJ-DC-UNITE-01,Asteroid Escape,1-4,3,4,,,,,,,,,
SJ-DC-UNITE-02,Stranded,1-4,3,4,,,,,,,,,
SJ-DC-UNITE-03,The Root of All Evil,1-4,3,4,,,,,,,,,
SJ-DC-VEN-01,S.O.S.,1-4,3,2,Smokepowder Packet,Pearl of Power,,,Stars in the Ocean,,500,Pistol,Awards too much gold.
SJ-DC-VEN-02,The Hypocritic Oath,5-10,8,4,"Keoghtom's Ointment, Potion of Greater Healing, Spell Scroll of Lesser Restoration",Staff of Withering,Staff of Adornment,,"Active Immunity, The Science Goes On",,5000,,
SJ-DC-VEN-03,Daylight Saving Time,11-16,13,4,Spellwrought Tattoo of Darkvision,Absorbing Tattoo (Radiant),Horn of Silent Alarm,,"Blessing of Magic Resistance, A Whorl of Time",,50000,,
SJ-DC-VMT-01,Waterdeep Statue Heist,11-16,13,4,"Smokepowder Packet, Spell Scroll of Teleportation Circle, Potion of Invulnerability","Scimitar of Speed, Strange Material property (black light)","Hat of Wizardry, Wicked property",,,,50000,"Pistol, Spellbook (Enchanter Wizard)",
SJ-DC-VMT-02,Lonesome Grub,5-10,8,4,"Smokepowder Packet, Spell Scroll of Greater Restoration, Spell Scroll of Revivify","Figurine of Wondrous Power (Ebony Fly), Illusion property","Horn of Silent Alarm, Guardian property",,,,5000,"Pistol, Bullets (10)",
SJ-DC-VMT-03,Green Hills of the Affricate,5-10,8,4,"Smokepowder Packet, Spell Scroll of Feign Death, Spell Scroll of Levitate","Wand of Fireballs, Strange Material property (sack of grenades)",Heward's Handy Spice Pouch,,,,5000,"Plate Armor, Pistol, Bullets (20), Spellbook (Abjurer Wizard)",
SJ-DC-WINE-01,Thunderstorms & Wine,11-16,13,4,"Potion of Lightning Resistance, Spell Scroll of Lightning Bolt, Keoghtom's Ointment","Frost Brand Greatsword, Guardian property","Tankard of Sobriety, Language property (Giant)",,"Sparky's Revenge, A Deal with a Trickster, Wine Lover",,50000,Scale Mail (Giant Size),Awards an invalid upcast spell scroll.
SJ-DC-ZODIAC-14-01,Fortune's Favor,11-16,13,4,"Potion of Advantage, Keoghtom's Ointment, Spell Scroll of Tiny Servant","Instrument of the Bards (Anstruth Harp), Guardian property","Instrument of Scribing, Hidden Message property",,"ZODIAC Mask, ZODIAC Totem: Rat",,50000,"Musket, Trinkets","Reward Summary lists a Musket but does not actually award it in adventure text.
Lists ""Equipment"" as part of the rewards but does not define."
SJ-DC-ZODIAC-14-02,Fey Inferno,11-16,13,4,"Mind Crystal (Quickened), Keoghtom's Ointment, Spell Scroll of Immolation","Absorbing Tattoo (Fire), Guardian property","Horn of Silent Alarm, Language property (Giant)",,"Biggest Scan in the Multiverse, ZODIAC Mask, ZODIAC Totem: Ox, ZODIAC Totem: Pig",,50000,"Musket, Trinkets","Reward Summary lists a Musket but does not actually award it in adventure text.
Lists ""Equipment"" as part of the rewards but does not define."
SJ-DC-ZODIAC-14-03,Herald of War,11-16,13,4,Spell Scroll of Dispel Evil and Good,"Frost Brand Rapier, Guardian property","Talking Doll, Language property (Giant)",,"Blessing of Wound Closure, Mark of the Nightmare King, ZODIAC Mask, ZODIAC Totem",,50000,"Musket, Trinkets, Spellbook (Archmage)","Lists ""Equipment"" as part of the rewards but does not define."
SJ-Magic Item Table A,These items are listed as available awards to include in the SJA DC documentation. They are included here for reference until a more complete list of items from individual adventures is available.,,,,,"Goggles of Night
Bag of Holding
Coiling Grasp Tattoo
Periapt of Health
Hat of Disguise
Javelin of Lightning","Rod of the Pact Keeper +1
Brooch of Shielding
Rope of Climbing
Pearl of Power
Guardian Emblem
Eldritch Claw Tattoo",,,,,,
SJ-Magic Item Table B,,,,,,"Clothes of Mending
Rope of Mending
Cloak of Many Fashions
Instrument of Scribing
Spellwrought Tattoo (cantrip)
Masquerade Tattoo","Tankard of Sobriety
Hat of Wizardry
Staff of Adornment
Pole of Collapsing
Talking Doll
Horn of Silent Alarm",,,,,,
SJ-Magic Item Table C,,,,,,"Boots of Levitation
Cloak of the Bat
Ring of Feather Falling
Staff of Withering
Figurine of Wondrous Power (Ebony Fly)
Wand of Fireballs","Astromancy Archive
Rhythm-maker's Drum +2
Bag of Beans
Armor +1 (light & medium)
Elemental Essence Shard (property must be listed in the adventure)
Weapon +2 (no firearms, weapon type must be specified, may use weapon types from any official D&D adventure allowed in AL)",,,,,,
SJ-Magic Item Table D,,,,,,"Ghost Step Tattoo
Ioun Stone (Insight)
Ioun Stone (Leadership)
Staff of Striking
Frost Brand
Instrument of the Bards (Anstruth Harp)","Ring of Regeneration
Absorbing Tattoo
Fish Suit
Scimitar of Speed
Carpet of Flying
Cloak of Arachnida",,,,,,