Adventure Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbook,Story Awards/Other,ACP,TCP,Ren,DT,Admin Rulings / Notes
DDAL08-00,Once in Waterdeep,1-4,1,4,,,,,Story Award: Marmaduke the Tomcat; Faction Favor,4,4,1,10,
DDAL08-01,The Map with No Names,1-4,3,2 - 4,Potion of Healing (2),Wand of Secrets,,Blegor Spellbook,2 Silver Daggers [1 TCP],2 - 4,2 - 4,0.5 - 1,5 - 10,Driftglobe
DDAL08-02,Beneath the City of the Dead,1-4,3,2 - 4,,Goggles of Night,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-03,Dock Ward Double Cross,1-4,3,2 - 4,Bullet +1 (3),Hat of Disguise,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-04,A Wrinkle in the Weave,1-4,3,2 - 4,"Potion of Poison, Scroll of Arcane Lock",Ring of Mind Shielding,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-05,Hero of the Troll Wars,1-4,3,2 - 4,,Javelin of Lightning (1),,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-06,Purging the Blood,1-4,3,2 - 4,,Cloak of Protection,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-07,Into the Dark,5-10,5,2 - 4,,Mace of Smiting,,,Stoy Award: Endless Bluetooth Ale,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-08,Crypt of the Dark Kiss,5-10,8,2 - 4,,Ring of Fire Resistance,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-09,Fangs and Frogs,5-10,10,2 - 4,"Potion of Heroism; Spell Scrolls: Dispel Magic, Suggestion",Wand of Lightning Bolts,,,Story Award: Monstrous Merger,2 - 4,2 - 4,0.5 - 1,5 - 10,Ouida
DDAL08-10,The Skull Square Murders,5-10,8,2 - 4,"Potions: Fire Giant Strength, Greater Healing",Amulet of Health,2,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-11,Poisoned Words,5-10,8,2 - 4,"Potions: Speed, Vitality",Glamoured Studded Leather,,,Story Award: Roughed Up by the Xanatharâ€™s Guild,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-12,Xanathar's Wrath,5-10,8,2 - 4,Potion of Invulnerability; Spell Scroll of Invisibility,Gem of Seeing,,,,2 - 4,2 - 4,0.5 - 1,5 - 10,
DDAL08-13,The Vampire of Skullport,11-16,13,4 - 6,"Potion of Gaseous Form, Oil of Slipperiness",Staff of Withering,,Austra Spellbook,,4 - 6,8 - 12,1 - 1.5,10 - 15,
DDAL08-14,Rescue from Vanrakdoom,11-16,13,4 - 6,,"Desolation (Sword of Sharpness, Greatsword)",,,,4 - 6,8 - 12,1 - 1.5,10 - 15,
DDAL08-15,Forge of Fangs,11-16,13,4 - 6,,Ring of Shooting Stars,,,,4 - 6,8 - 12,1 - 1.5,10 - 15,
DDAL08-16,A Change of Address,17-20,18,4 - 6,"Potions: Healing, Fire Giant Strength; 3 Spell Scrolls of Lesser Restoration",Plate Armor of Etherealness,,,,4 - 6,8 - 12,1 - 1.5,10 - 15,
DDAL08-17,The Tower of Ahghairon,17-20,18,4 - 6,Potion of Healing (2 each),Cubic Gate,Chest of Preserving,"Contact Other Plane, Demiplane",,4 - 6,8 - 12,1 - 1.5,10 - 15,
DDAL08-18,Moving Day,17-20,18,4 - 6,Potion of Healing (if anyone doesn't have one),Rod Of Resurrection,Chest of Preserving,,,4 - 6,8 - 12,1 - 1.5,10 - 15,
,,,,,,,,,,,,,,
DDEP08-01,Chaos in the City of Splendors,1-4,3,3,,Bag of Tricks (Rust),Folding Boat,,,1 - 6,1 - 6,0.25 - 1.5,2.5 - 15,
DDEP08-02-T1,Stardock Under Siege,1-4,3,4,Potion of Healing (random number),Periapt of Wound Closure,,,,2 per mission,2 per mission,0.5 per mission,5 per mission,All Items for All Tiers
DDEP08-02-T2,,5-10,8,4,Potion of Resistance (Acid),Ring of Water Walking,Chime of Opening,,,2 per mission,2 per mission,0.5 per mission,5 per mission,All Items for All Tiers
DDEP08-02-T3,,11-16,13,4,,Mantle of Spell Resistance,Chime of Opening,,,2 per mission,4 per mission,0.5 per mission,5 per mission,All Items for All Tiers
DDEP08-03-T1,Last Call at the Yawning Portal,1-4,3,3,,Rope of Climbing,,,"Story Award: Tavern Hero, Drinking Deep / Deep Delver (differing name for same thing in text), Sold Soul",4,4,10,1,
DDEP08-03-T2,,5-10,8,,,Winged Boots,,,,,,,,
DDEP08-03-T3,,11-16,13,,,Animated Shield,,,,,8,,,
DDEP08-03-T4,,17-20,18,,,Ring of Invisibility,,,,,,,,